Date,current_ma50,ma20_plus_ma50,ma50_plus_positive_5d
2023-07-26,14061.017240003188,10353.438432294937,10000
2023-07-27,14061.017240003188,10353.438432294937,10000
2023-07-28,14061.017240003188,10353.438432294937,10000
2023-07-31,14061.017240003188,10353.438432294937,10000
2023-08-01,14061.017240003188,10353.438432294937,10000
2023-08-02,14061.017240003188,10353.438432294937,10000
2023-08-03,14061.017240003188,10353.438432294937,10000
2023-08-04,14061.017240003188,10353.438432294937,10000
2023-08-07,14061.017240003188,10353.438432294937,10000
2023-08-08,14061.017240003188,10353.438432294937,10000
2023-08-09,14061.017240003188,10353.438432294937,10000
2023-08-10,14061.017240003188,10353.438432294937,10000
2023-08-11,14061.017240003188,10353.438432294937,10000
2023-08-14,14061.017240003188,10353.438432294937,10000
2023-08-15,14061.017240003188,10353.438432294937,10000
2023-08-16,14061.017240003188,10353.438432294937,10000
2023-08-17,14061.017240003188,10353.438432294937,10000
2023-08-18,14061.017240003188,10353.438432294937,10000
2023-08-21,14061.017240003188,10353.438432294937,10000
2023-08-22,14061.017240003188,10353.438432294937,10000
2023-08-23,14061.017240003188,10353.438432294937,10000
2023-08-24,14061.017240003188,10353.438432294937,10000
2023-08-25,14061.017240003188,10353.438432294937,10000
2023-08-28,14061.017240003188,10353.438432294937,10000
2023-08-29,14061.017240003188,10353.438432294937,10000
2023-08-30,14061.017240003188,10353.438432294937,10000
2023-08-31,14061.017240003188,10353.438432294937,10000
2023-09-01,14061.017240003188,10353.438432294937,10000
2023-09-05,14061.017240003188,10353.438432294937,10000
2023-09-06,14061.017240003188,10353.438432294937,10000
2023-09-07,14061.017240003188,10353.438432294937,10000
2023-09-08,14061.017240003188,10353.438432294937,10000
2023-09-11,14061.017240003188,10353.438432294937,10000
2023-09-12,14061.017240003188,10353.438432294937,10000
2023-09-13,14061.017240003188,10353.438432294937,10000
2023-09-14,14061.017240003188,10353.438432294937,10000
2023-09-15,14061.017240003188,10353.438432294937,10000
2023-09-18,14061.017240003188,10353.438432294937,10000
2023-09-19,14061.017240003188,10353.438432294937,10000
2023-09-20,14061.017240003188,10353.438432294937,10000
2023-09-21,14061.017240003188,10353.438432294937,10000
2023-09-22,14061.017240003188,10353.438432294937,10000
2023-09-25,14061.017240003188,10353.438432294937,10000
2023-09-26,14061.017240003188,10353.438432294937,10000
2023-09-27,14061.017240003188,10353.438432294937,10000
2023-09-28,14061.017240003188,10353.438432294937,10000
2023-09-29,14061.017240003188,10353.438432294937,10000
2023-10-02,14061.017240003188,10353.438432294937,10000
2023-10-03,14061.017240003188,10353.438432294937,10000
2023-10-04,14061.017240003188,10353.438432294937,10000
2023-10-05,14061.017240003188,10353.438432294937,10000
2023-10-06,14061.017240003188,10353.438432294937,10000
2023-10-09,14061.017240003188,10353.438432294937,10000
2023-10-10,14061.017240003188,10353.438432294937,10000
2023-10-11,14061.017240003188,10353.438432294937,10000
2023-10-12,14061.017240003188,10353.438432294937,10000
2023-10-13,14061.017240003188,10353.438432294937,10000
2023-10-16,14061.017240003188,10353.438432294937,10000
2023-10-17,14061.017240003188,10353.438432294937,10000
2023-10-18,14061.017240003188,10353.438432294937,10000
2023-10-19,14061.017240003188,10353.438432294937,10000
2023-10-20,14061.017240003188,10353.438432294937,10000
2023-10-23,14061.017240003188,10353.438432294937,10000
2023-10-24,14061.017240003188,10353.438432294937,10000
2023-10-25,14061.017240003188,10353.438432294937,10000
2023-10-26,14061.017240003188,10353.438432294937,10000
2023-10-27,14061.017240003188,10353.438432294937,10000
2023-10-30,14061.017240003188,10353.438432294937,10000
2023-10-31,14061.017240003188,10353.438432294937,10000
2023-11-01,14061.017240003188,10353.438432294937,10000
2023-11-02,14061.017240003188,10353.438432294937,10000
2023-11-03,14061.017240003188,10353.438432294937,10000
2023-11-06,14061.017240003188,10353.438432294937,10000
2023-11-07,14061.017240003188,10353.438432294937,10000
2023-11-08,14061.017240003188,10353.438432294937,10000
2023-11-09,14061.017240003188,10353.438432294937,10000
2023-11-10,14061.017240003188,10353.438432294937,10000
2023-11-13,14061.017240003188,10353.438432294937,10000
2023-11-14,14061.017240003188,10353.438432294937,10000
2023-11-15,14061.017240003188,10353.438432294937,10000
2023-11-16,14061.017240003188,10353.438432294937,10000
2023-11-17,14061.017240003188,10353.438432294937,10000
2023-11-20,14061.017240003188,10353.438432294937,10000
2023-11-21,14061.017240003188,10353.438432294937,10000
2023-11-22,14061.017240003188,10353.438432294937,10000
2023-11-24,14061.017240003188,10353.438432294937,10000
2023-11-27,14061.017240003188,10353.438432294937,10000
2023-11-28,14061.017240003188,10353.438432294937,10000
2023-11-29,14061.017240003188,10353.438432294937,10000
2023-11-30,14061.017240003188,10353.438432294937,10000
2023-12-01,14061.017240003188,10353.438432294937,10000
2023-12-04,14061.017240003188,10353.438432294937,10000
2023-12-05,14061.017240003188,10353.438432294937,10000
2023-12-06,14061.017240003188,10353.438432294937,10000
2023-12-07,14061.017240003188,10353.438432294937,10000
2023-12-08,14061.017240003188,10353.438432294937,10000
2023-12-11,14061.017240003188,10353.438432294937,10000
2023-12-12,14061.017240003188,10353.438432294937,10000
2023-12-13,14061.017240003188,10353.438432294937,10000
2023-12-14,14061.017240003188,10353.438432294937,10000
2023-12-15,14061.017240003188,10353.438432294937,10000
2023-12-18,14061.017240003188,10353.438432294937,10000
2023-12-19,14061.017240003188,10353.438432294937,10000
2023-12-20,14061.017240003188,10353.438432294937,10000
2023-12-21,14061.017240003188,10353.438432294937,10000
2023-12-22,14061.017240003188,10353.438432294937,10000
2023-12-26,14061.017240003188,10353.438432294937,10000
2023-12-27,14061.017240003188,10353.438432294937,10000
2023-12-28,14061.017240003188,10353.438432294937,10000
2023-12-29,14061.017240003188,10353.438432294937,10000
2024-01-02,14061.017240003188,10353.438432294937,10000
2024-01-03,14061.017240003188,10353.438432294937,10000
2024-01-04,14061.017240003188,10353.438432294937,10000
2024-01-05,14061.017240003188,10353.438432294937,10000
2024-01-08,14061.017240003188,10353.438432294937,10000
2024-01-09,14061.017240003188,10353.438432294937,10000
2024-01-10,14061.017240003188,10353.438432294937,10000
2024-01-11,14061.017240003188,10353.438432294937,10000
2024-01-12,14061.017240003188,10353.438432294937,10000
2024-01-16,14061.017240003188,10353.438432294937,10000
2024-01-17,14061.017240003188,10353.438432294937,10000
2024-01-18,14061.017240003188,10353.438432294937,10000
2024-01-19,14061.017240003188,10353.438432294937,10000
2024-01-22,14061.017240003188,10353.438432294937,10000
2024-01-23,14061.017240003188,10353.438432294937,10000
2024-01-24,14061.017240003188,10353.438432294937,10000
2024-01-25,14061.017240003188,10353.438432294937,10000
2024-01-26,14061.017240003188,10353.438432294937,10000
2024-01-29,14061.017240003188,10353.438432294937,10000
2024-01-30,14061.017240003188,10353.438432294937,10000
2024-01-31,14061.017240003188,10353.438432294937,10000
2024-02-01,14061.017240003188,10353.438432294937,10000
2024-02-02,14061.017240003188,10353.438432294937,10000
2024-02-05,14061.017240003188,10353.438432294937,10000
2024-02-06,14061.017240003188,10353.438432294937,10000
2024-02-07,14061.017240003188,10353.438432294937,10000
2024-02-08,14061.017240003188,10353.438432294937,10000
2024-02-09,14061.017240003188,10353.438432294937,10000
2024-02-12,14061.017240003188,10353.438432294937,10000
2024-02-13,14061.017240003188,10353.438432294937,10000
2024-02-14,14061.017240003188,10353.438432294937,10000
2024-02-15,14061.017240003188,10353.438432294937,10000
2024-02-16,14061.017240003188,10353.438432294937,10000
2024-02-20,14061.017240003188,10353.438432294937,10000
2024-02-21,14061.017240003188,10353.438432294937,10000
2024-02-22,14061.017240003188,10353.438432294937,10000
