strategy,signal_date,entry_date,exit_date,z_window,z_threshold,signal_z_score,entry_price,exit_price,position_return,account_return,capital_before,capital_after,exit_reason,year
Current 20D,2025-07-31,2025-08-01,2025-08-07,20,-1.75,-1.9535859398355198,23.596724056565943,24.96774598503113,0.058102214747207226,0.029051107373603613,13971.917122534664,14377.81678707651,time_exit,2025
Fast 5D,2021-01-27,2021-01-28,2021-02-03,5,-1.5,-1.6522275900750767,33.97683041966189,35.49003672409058,0.044536417486223945,0.022268208743111972,10000.0,10222.682087431122,fixed_hold,2021
Fast 5D,2021-04-19,2021-04-20,2021-04-26,5,-1.5,-1.5301688511670108,37.885266538338726,40.91109720611572,0.07986826923112567,0.03993413461556283,10222.682087431122,10630.916050042699,fixed_hold,2021
Fast 5D,2021-04-30,2021-05-03,2021-05-07,5,-1.5,-1.5340641624187783,36.632462055867364,35.79358114242554,-0.022899932637955533,-0.011449966318977767,10630.916050042699,10509.19241932983,fixed_hold,2021
Fast 5D,2021-06-18,2021-06-21,2021-06-25,5,-1.5,-1.5633838813870533,36.467358586928334,39.40879013442993,0.08065929810874617,0.040329649054373085,10509.19241932983,10933.02446144628,fixed_hold,2021
Fast 5D,2021-07-08,2021-07-09,2021-07-15,5,-1.5,-1.5024632090154504,39.021529670964775,38.206955909729004,-0.02087498281344624,-0.01043749140672312,10933.02446144628,10818.911112580441,fixed_hold,2021
Fast 5D,2021-07-27,2021-07-28,2021-08-03,5,-1.5,-1.6579916804580475,38.39998876954327,44.55540609741211,0.16029737312712378,0.08014868656356189,10818.911112580441,11686.032628301688,fixed_hold,2021
Fast 5D,2021-08-10,2021-08-11,2021-08-17,5,-1.5,-1.5971475770011616,43.7608262254665,39.2149534034729,-0.10387995872317757,-0.051939979361588784,11686.032628301688,11079.060334768845,fixed_hold,2021
Fast 5D,2022-08-09,2022-08-10,2022-08-16,5,-1.5,-1.6977621838257306,18.56155034397228,20.52448746871948,0.10575286484001323,0.052876432420006614,11079.060334768845,11664.881519837425,fixed_hold,2022
Fast 5D,2022-08-22,2022-08-23,2022-08-29,5,-1.5,-1.5346900631328617,16.615895715491366,14.61180217552185,-0.12061303069572438,-0.06030651534786219,11664.881519837425,10961.413163430356,fixed_hold,2022
Fast 5D,2023-04-19,2023-04-20,2023-04-26,5,-1.5,-1.6197611851836644,14.50855120822883,13.089366974830627,-0.0978170882143824,-0.0489085441071912,10961.413163430356,10425.306404249575,fixed_hold,2023
Fast 5D,2023-05-24,2023-05-25,2023-06-01,5,-1.5,-1.6201457084928779,17.81441794873801,21.694868574142458,0.21782640536281694,0.10891320268140847,10425.306404249575,11560.759913671394,fixed_hold,2023
Fast 5D,2023-06-21,2023-06-22,2023-06-28,5,-1.5,-1.536725083318715,21.889763038710516,23.257976371765135,0.06250471193475371,0.031252355967376855,11560.759913671394,11922.060897746833,fixed_hold,2023
Fast 5D,2023-07-20,2023-07-21,2023-07-27,5,-1.5,-1.5592553831951972,24.571947338193407,25.944606662750243,0.055862862868147234,0.027931431434073617,11922.060897746833,12255.061124265098,fixed_hold,2023
Fast 5D,2023-11-28,2023-11-29,2023-12-05,5,-1.5,-1.6248548691301246,23.087321722793842,21.53850806236267,-0.06708502956850326,-0.03354251478425163,12255.061124265098,11843.995555322528,fixed_hold,2023
Fast 5D,2023-12-20,2023-12-21,2023-12-28,5,-1.5,-1.7501438531411497,29.343186824371703,31.715913928985596,0.08086126155333506,0.04043063077666753,11843.995555322528,12322.855766540264,fixed_hold,2023
Fast 5D,2024-01-02,2024-01-03,2024-01-09,5,-1.5,-1.7513322580075386,26.226400861672825,27.975366914749145,0.0666872310196498,0.0333436155098249,12322.855766540264,12733.74433120281,fixed_hold,2024
Fast 5D,2024-07-17,2024-07-18,2024-07-24,5,-1.5,-1.7484324235138218,53.613488324659784,42.38226174545288,-0.2094850928407329,-0.10474254642036646,12733.74433120281,11399.979524486722,fixed_hold,2024
Fast 5D,2024-08-22,2024-08-23,2024-08-29,5,-1.5,-1.530034536102086,38.764848136981854,35.75323913955688,-0.07768917310814594,-0.03884458655407297,11399.979524486722,10957.152033133138,fixed_hold,2024
Fast 5D,2024-10-15,2024-10-16,2024-10-22,5,-1.5,-1.5669315226512928,35.45196556078818,34.33206956863403,-0.031589108655594944,-0.015794554327797472,10957.152033133138,10784.08870006788,fixed_hold,2024
Fast 5D,2024-10-23,2024-10-24,2024-10-30,5,-1.5,-1.6612058588040644,34.29171868243597,33.65909057235718,-0.018448422370932915,-0.009224211185466458,10784.08870006788,10684.61398845565,fixed_hold,2024
Fast 5D,2024-10-31,2024-11-01,2024-11-07,5,-1.5,-1.5471615935676861,30.434152483291562,35.836388786315915,0.17750572505642137,0.08875286252821069,10684.61398845565,11632.90406494005,fixed_hold,2024
