z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate,compounded_return
10,-1.75,3,2025,3,-0.0016221481150506072,-0.003943351690334995,0.3333333333333333,-0.005530130968182778
10,-1.75,5,2021,6,0.011282681120038293,0.03011984798856271,0.6666666666666666,0.05530363663889748
10,-1.75,5,2022,3,-0.05533092788567547,-0.12061303069572438,0.3333333333333333,-0.17457430908688898
10,-1.75,5,2023,3,0.08422667739560515,0.05149253475111659,1.0,0.269319271282902
10,-1.75,5,2024,4,0.03982013211530375,0.09563000950465372,0.75,0.11650145047139127
10,-1.75,5,2025,3,0.03423148383339303,0.043457930933499034,1.0,0.10567551530589792
10,-1.5,1,2021,10,0.0026358681895045978,0.007477600588254529,0.6,0.011162054412693578
10,-1.5,1,2022,4,0.002827146942211839,-0.00019365036089191712,0.5,0.009908032672480083
10,-1.5,1,2023,4,-0.02016193378941286,-0.01696448304287229,0.25,-0.07968532060085598
10,-1.5,1,2024,7,-0.00387427717326854,0.002554610193488571,0.5714285714285714,-0.03319438944554509
10,-1.5,1,2025,5,0.02678556952535551,0.01916404213327616,0.8,0.1386446065442546
10,-1.5,1,2026,1,0.001887521536889647,0.001887521536889647,1.0,0.001887521536889647
10,-1.5,2,2021,10,-0.011743234202523656,-0.004553996233089885,0.5,-0.12400709840317747
10,-1.5,2,2022,4,-0.007052407988972692,0.00214367197906129,0.5,-0.030898938961438138
10,-1.5,2,2023,4,0.0015080844327898246,0.02405388335231473,0.75,-0.003139500044737842
10,-1.5,2,2024,7,-0.006057060874141548,-0.013054479212520786,0.42857142857142855,-0.0636332426898768
10,-1.5,2,2025,5,0.005112563550821725,0.01588741050611464,0.6,0.02073561230349008
10,-1.5,2,2026,1,-0.04435931861327369,-0.04435931861327369,0.0,-0.04435931861327369
10,-1.5,3,2021,10,-0.00510372064837702,-0.006428373478110927,0.5,-0.06027365157717268
10,-1.5,3,2022,4,0.019762800593469743,0.022036565155385934,0.5,0.05656002334087895
10,-1.5,3,2023,4,-0.02578050285769301,-0.020974384594846074,0.5,-0.10452628073990922
10,-1.5,3,2024,7,0.0020543831008839686,-0.010493275707971983,0.42857142857142855,-0.01205574790745545
10,-1.5,3,2025,5,-0.002688198625933147,-0.003943351690334995,0.4,-0.015714343152412047
10,-1.5,3,2026,1,-0.14400788611058224,-0.14400788611058224,0.0,-0.14400788611058224
10,-1.5,5,2021,10,0.02424296548320858,0.03011984798856271,0.6,0.2541525341493296
10,-1.5,5,2022,4,-0.08422580140660707,-0.13587267026558886,0.25,-0.31564816222523384
10,-1.5,5,2023,4,0.023072007839301106,-0.0014698432268983597,0.5,0.07899639503815115
10,-1.5,5,2024,7,0.01022264397939592,0.06668737632676192,0.7142857142857143,-0.037740936361541855
10,-1.5,5,2025,5,-0.032328363724681085,0.0075407786821255485,0.6,-0.16978243466872356
10,-1.5,5,2026,1,0.11200791478136041,0.11200791478136041,1.0,0.11200791478136041
10,-1.25,1,2021,12,0.008184926044064391,0.017083080266759976,0.6666666666666666,0.08503421337998973
10,-1.25,1,2022,7,0.007136699697190282,0.012609755649245269,0.5714285714285714,0.048549269561073194
10,-1.25,1,2023,7,-0.001852993486235783,0.009510323462719628,0.5714285714285714,-0.015159447901871292
10,-1.25,1,2024,11,-0.0016678669946930528,0.003257956048948518,0.6363636363636364,-0.025873054680041085
10,-1.25,1,2025,7,0.011909962234897311,0.013542740103652084,0.7142857142857143,0.08094589632594174
10,-1.25,1,2026,2,0.08217743072967065,0.08217743072967065,1.0,0.16466152206248608
10,-1.25,2,2021,12,-0.0013718966689884964,0.005447698781266941,0.5833333333333334,-0.03541430764410358
10,-1.25,2,2022,7,0.01812263907140161,0.017284400329151683,0.5714285714285714,0.10755499168547167
10,-1.25,2,2023,7,-0.007086967870106209,0.0027253986058513036,0.5714285714285714,-0.060894236155652925
10,-1.25,2,2024,11,-0.0007644291308658694,0.002581541056415393,0.5454545454545454,-0.03220406354060745
10,-1.25,2,2025,7,0.01943589878431792,0.01588741050611464,0.7142857142857143,0.13638122882344428
10,-1.25,2,2026,2,0.08679355406997896,0.08679355406997896,0.5,0.16391915315498684
10,-1.25,3,2021,12,0.010925250438128337,0.005066524589722898,0.5833333333333334,0.11848689309846838
10,-1.25,3,2022,7,0.01664200820956347,0.0775970524509546,0.5714285714285714,0.06850795072606175
10,-1.25,3,2023,7,-0.0012216911030195224,0.010323086295498385,0.5714285714285714,-0.019144967852367967
10,-1.25,3,2024,11,0.014159238334328668,-0.00991126333336223,0.45454545454545453,0.1303050304714457
10,-1.25,3,2025,7,-0.013402174995807268,0.015242492850311873,0.5714285714285714,-0.10607961710329072
10,-1.25,3,2026,2,0.13510874581540866,0.13510874581540866,0.5,0.210565770608921
10,-1.25,5,2021,12,0.038817900721907876,0.04718289849008228,0.6666666666666666,0.5451577408487334
10,-1.25,5,2022,7,-0.045920589035495944,-0.12061303069572438,0.42857142857142855,-0.33788877073460055
10,-1.25,5,2023,7,0.01049295134778234,-0.02156666941016483,0.2857142857142857,0.04188893037305874
10,-1.25,5,2024,11,0.022603004094936954,0.06668737632676192,0.7272727272727273,0.13818704868648957
10,-1.25,5,2025,7,-0.005232753022892944,0.0075407786821255485,0.5714285714285714,-0.05284730040306329
10,-1.25,5,2026,2,0.16284936601779643,0.16284936601779643,1.0,0.34963379488416413
20,-2.0,1,2021,2,0.04475407711420093,0.04475407711420093,0.5,0.0879692283621023
20,-2.0,1,2022,1,-0.029720238731093418,-0.029720238731093418,0.0,-0.029720238731093418
20,-2.0,1,2023,1,-0.02031668787148988,-0.02031668787148988,0.0,-0.02031668787148988
20,-2.0,1,2024,2,0.018406791459662286,0.018406791459662286,1.0,0.036901101240268463
20,-2.0,1,2025,1,0.014642122620083686,0.014642122620083686,1.0,0.014642122620083686
20,-2.0,2,2021,2,-0.015271411552542358,-0.015271411552542358,0.5,-0.030610066228302313
20,-2.0,2,2022,1,-0.06711311424653765,-0.06711311424653765,0.0,-0.06711311424653765
20,-2.0,2,2023,1,-0.007859840463327217,-0.007859840463327217,0.0,-0.007859840463327217
20,-2.0,2,2024,2,0.013966312392911295,0.013966312392911295,0.5,0.027397559488694823
20,-2.0,2,2025,1,-0.00483899485989836,-0.00483899485989836,0.0,-0.00483899485989836
20,-2.0,3,2021,2,0.01768917214854482,0.01768917214854482,1.0,0.03560978107678747
20,-2.0,3,2022,1,-0.09483534433604002,-0.09483534433604002,0.0,-0.09483534433604002
20,-2.0,3,2023,1,0.04269973024805607,0.04269973024805607,1.0,0.04269973024805607
20,-2.0,3,2024,2,0.017257280074889803,0.017257280074889803,1.0,0.03480224519479602
