z_window,z_threshold,hold_days,stop_level,trades,avg_position_return,median_position_return,win_rate,best_trade,worst_trade,avg_mae,median_mae,worst_mae,avg_mfe,median_mfe,best_mfe,stop_exits,fixed_exits,final_capital_50pct,total_return_50pct,trade_sequence_max_drawdown_50pct,return_to_drawdown
6,-1.5,5,-0.1,42,0.011842726270929952,0.027496893966748925,0.5476190476190477,0.30615797310446546,-0.1009000000000001,-0.089192460263457,-0.06414101576895015,-0.29821287790133655,0.10361335195282743,0.09742649284487126,0.3446683512210096,15,27,12131.946348434734,0.21319463484347345,-0.22804996620033324,0.9348593134900536
6,-1.5,5,-0.12,42,0.012096065036109402,0.04384444293930434,0.5952380952380952,0.30615797310446546,-0.1208800000000001,-0.089192460263457,-0.06414101576895015,-0.29821287790133655,0.10361335195282743,0.09742649284487126,0.3446683512210096,13,29,12130.901340789404,0.2130901340789404,-0.26781201805388577,0.7956705439412546
5,-1.7,4,None,6,0.014819573370898472,0.05262167980827459,0.6666666666666666,0.08522232608153879,-0.10686804998402133,-0.10310016191931097,-0.1096805729243327,-0.17271315421996924,0.06436126137205887,0.0809829991623987,0.1194265923184119,0,6,10409.007754576174,0.04090077545761739,-0.06858964820544933,0.5963112004176732
6,-1.5,5,-0.15,42,0.010339494831149038,0.04384444293930434,0.5952380952380952,0.30615797310446546,-0.15085000000000015,-0.089192460263457,-0.06414101576895015,-0.29821287790133655,0.10361335195282743,0.09742649284487126,0.3446683512210096,8,34,11628.334352049798,0.16283343520497984,-0.2775320575056447,0.5867193745777206
5,-1.7,4,-0.15,6,0.007489248368235372,0.05262167980827459,0.6666666666666666,0.08522232608153879,-0.15084999999999993,-0.10310016191931097,-0.1096805729243327,-0.17271315421996924,0.06436126137205887,0.0809829991623987,0.1194265923184119,1,5,10167.181790583629,0.016718179058362814,-0.09022852210256305,0.18528707629012484
5,-1.7,4,-0.1,6,-0.01270121225909047,-0.016918644684568496,0.5,0.08522232608153879,-0.1009000000000001,-0.10310016191931097,-0.1096805729243327,-0.17271315421996924,0.06436126137205887,0.0809829991623987,0.1194265923184119,3,3,9568.013645045452,-0.043198635495454774,-0.14384279796612498,-0.3003183760762778
5,-1.7,5,None,6,-0.013196161242269558,0.008658006339975044,0.5,0.08086139142616,-0.2094850807875681,-0.11693415277324783,-0.11276365735719024,-0.22068329054528968,0.06899510185013097,0.09421297678402696,0.1194265923184119,0,6,9536.541300009852,-0.0463458699990148,-0.13524519322908035,-0.34268034887209237
5,-1.7,5,-0.1,6,-0.01727643692155617,-0.024703661317363568,0.5,0.08086139142616,-0.1009000000000001,-0.11693415277324783,-0.11276365735719024,-0.22068329054528968,0.06899510185013097,0.09421297678402696,0.1194265923184119,3,3,9441.726663520983,-0.0558273336479016,-0.1438427979661251,-0.38811351306618014
5,-1.7,4,-0.12,6,-0.02269121225909047,-0.026908644684568495,0.5,0.08522232608153879,-0.1208800000000001,-0.10310016191931097,-0.1096805729243327,-0.17271315421996924,0.06436126137205887,0.0809829991623987,0.1194265923184119,3,3,9269.19095875649,-0.07308090412435109,-0.1705818061331842,-0.4284214464659386
5,-1.7,5,-0.15,6,-0.022869203663454407,0.008468038456941662,0.5,0.08086139142616,-0.15085000000000004,-0.11693415277324783,-0.11276365735719024,-0.22068329054528968,0.06899510185013097,0.09421297678402696,0.1194265923184119,2,4,9264.302930744845,-0.07356970692551545,-0.15993123306295054,-0.46000837682879414
5,-1.7,5,-0.12,6,-0.02726643692155617,-0.03469366131736357,0.5,0.08086139142616,-0.1208800000000001,-0.11693415277324783,-0.11276365735719024,-0.22068329054528968,0.06899510185013097,0.09421297678402696,0.1194265923184119,3,3,9146.848099435694,-0.08531519005643062,-0.1705818061331842,-0.5001423773753431
5,-1.7,4,-0.08,6,-0.02856582721459966,-0.08091999999999988,0.3333333333333333,0.08522232608153879,-0.08091999999999999,-0.10310016191931097,-0.1096805729243327,-0.17271315421996924,0.06436126137205887,0.0809829991623987,0.1194265923184119,4,2,9134.785676489015,-0.08652143235109855,-0.11653519868933582,-0.7424489195041477
5,-1.7,5,-0.08,6,-0.029355216482434925,-0.08091999999999988,0.3333333333333333,0.08086139142616,-0.08091999999999999,-0.11693415277324783,-0.11276365735719024,-0.22068329054528968,0.06899510185013097,0.09421297678402696,0.1194265923184119,4,2,9114.026114403225,-0.08859738855967758,-0.11653519868933593,-0.7602629038790585
