event_id,event_start,event_end,event_duration_days,trade_observations,unique_assets,assets,avg_return,median_return,win_rate,best_return,worst_return,event_winner,qqq_return_1d,qqq_return_5d,qqq_return_20d,qqq_trend_20,qqq_trend_50,qqq_trend_200,qqq_ma50_slope_10d,qqq_ma200_slope_20d,qqq_volatility_20d,soxx_return_1d,soxx_return_5d,soxx_return_20d,soxx_trend_20,soxx_trend_50,soxx_trend_200,soxx_ma50_slope_10d,vix_level,vix_change_1d,vix_change_5d,vix_change_20d,vix_vs_ma20,year
11,2023-02-17,2023-02-22,5,2,2,"AVGO,TSM",-0.0014337294813734506,-0.0014337294813734506,0.5,0.0113258885953475,-0.0141933475580944,False,-0.007055687246978026,0.00487130035071992,0.06537454511884544,0.0034652329071411803,0.05912796405352028,0.039975717339120864,0.012604658503450938,-0.0113891758142447,0.016493209093504498,-0.015573923013275981,-0.0038559821054944265,0.07882674002753709,-0.004387557678552589,0.07573806322244958,0.11576653436190187,0.025758273786128383,20.020000457763672,-0.007436768367024893,-0.0248417053981681,0.00856423541697482,0.03668800877671741,2023
12,2023-04-12,2023-04-25,13,8,6,"AMD,AVGO,SMH,SOXL,SOXX,TSM",0.011710553088030663,0.0186127331204076,0.75,0.0514928252061452,-0.0460098888964132,True,-0.008833697708145238,-0.01889865955107617,0.05432514240091413,0.003670934548961391,0.030150574681752307,0.07590605044276932,0.020931060066122553,0.006971521477306064,0.01077957375403326,-0.018289027937608116,-0.028455102641280483,0.010792578470240288,-0.020295019220233135,-0.001707306243741269,0.11515696155656907,0.018295932280345095,19.09000015258789,-0.000523572182309362,0.00473685013620484,-0.1955330585400914,-0.08304912862939229,2023
13,2023-05-02,2023-05-03,1,2,2,"AMD,AVGO",0.093819030852599,0.093819030852599,1.0,0.1870313946080746,0.0006066670971234,True,-0.008721853765229048,0.030291306970540388,-0.002405084669877211,0.0060622671999197575,0.03746424246025537,0.08937309509239588,0.008819452383846293,0.011519769291247428,0.010213957922535828,-0.00714172949628511,0.029675807536678533,-0.0633577635276561,-0.014106670479447914,-0.014569274952440536,0.08242680984427952,-0.0052597074602245275,17.780000686645508,0.10572144098292036,-0.052238780931760154,-0.04150935752475282,0.004945638852464684,2023
14,2023-06-23,2023-06-23,0,1,1,AMD,0.0246274391538068,0.0246274391538068,1.0,0.0246274391538068,0.0246274391538068,True,-0.009913296706865693,-0.019507002524492778,0.09464022169108266,0.01601344041421049,0.0782098003663847,0.21351565593364819,0.028882286187180917,0.014843120536303989,0.011531625079524039,-0.017612164959810994,-0.05370627496278091,0.12634433659500455,-0.01186458682587943,0.0830774660967386,0.23285337628872016,0.031898009243067627,13.4399995803833,0.041053426741707755,-0.07310347721494481,-0.32900653421624304,-0.09744142903566289,2023
15,2023-07-20,2023-07-20,0,1,1,TSM,0.0129905436829571,0.0129905436829571,1.0,0.0129905436829571,0.0129905436829571,True,-0.02305204283954232,-0.0063036933437002896,0.04106087644251755,0.01571853884840757,0.0594760079950285,0.2292814628559685,0.033753326677428364,0.02838455095475645,0.010526912781765157,-0.03636700547224714,-0.035430444243180315,0.030501719917419567,-0.0012028810161561765,0.05083565458124539,0.24050671322627437,0.04622573025972243,13.989999771118164,0.016715082733324893,0.027920655696305197,0.05984848282334987,0.0070181643294982,2023
16,2023-08-02,2023-08-02,0,1,1,TSM,-0.011047749013932,-0.011047749013932,0.0,-0.011047749013932,-0.011047749013932,False,-0.02194418140289678,-0.00829097400438683,0.01109968517698734,-0.0068111667692339894,0.026468605642825382,0.20242420450722975,0.028759777901459227,0.033965060892734655,0.01054526728179402,-0.03827193225115433,0.005995218598856988,0.02933303996187675,-0.0037480652772607925,0.0314117668172218,0.23567630855020383,0.040921660634171575,16.09000015258789,0.15506100503167608,0.21986358335580136,0.13469674233469164,0.14458475753136524,2023
17,2024-02-21,2024-02-21,0,1,1,AMD,0.0172475123049244,0.0172475123049244,1.0,0.0172475123049244,0.0172475123049244,True,-0.004001567073563916,-0.006860264792076132,0.0050298422309853486,-0.006778049463673552,0.02464617679587544,0.12985473029375028,0.021654236638672275,0.030876209226110785,0.009669454798146857,-0.0022944142076559704,-0.003558913573672995,0.009864900750588879,0.004548407577651625,0.05252282958763366,0.20457043949346865,0.03885108629858269,15.34000015258789,-0.005188062471480848,-0.032176669817502335,0.22231075055383398,0.10642287451150834,2024
18,2024-04-09,2024-04-12,3,2,2,"AMD,NVDA",-0.03524127939553265,-0.03524127939553265,0.5,0.0394911753412219,-0.1099737341322872,False,0.0036994568619972412,0.0025390751638227904,0.012402529182026667,0.0016035174346944459,0.01349080629904642,0.12730166375735785,0.011255125340686067,0.02298371999092308,0.007862020767323676,0.010756020643319264,-0.0008454038561230837,-0.001246483883874716,0.006480205496987468,0.03967146856457693,0.2411797761836041,0.02616224447386184,14.979999542236328,-0.013824887685854326,0.02532511254303693,-0.015768772705766376,0.06645780996467554,2024
19,2024-06-18,2024-06-18,0,1,1,AMD,0.0090182304871755,0.0090182304871755,1.0,0.0090182304871755,0.0090182304871755,True,0.00030914656762948134,0.03672911264760437,0.06660661024812442,0.04660887838507799,0.0862731464970461,0.17978096551513167,0.013686814282297455,0.024344448222938242,0.007141409242784871,0.012733392542514821,0.06537384132480217,0.1129664976288518,0.07275315941705363,0.14345733109063818,0.3275480028297466,0.02181804106840257,12.300000190734863,-0.03529410268746169,-0.04280156999279083,0.012345726494988662,-0.033094867774041914,2024
20,2024-07-17,2024-07-19,2,4,4,"NVDA,SMH,SOXL,SOXX",-0.08315399632945403,-0.058224577422556247,0.0,-0.0520559232537164,-0.1641109072189872,False,-0.02935489196113661,-0.0421306115912341,-0.005204041510329049,-0.01217670609841659,0.028388225217408136,0.1410683074232053,0.03016860927651721,0.029595264086839324,0.010727748480382233,-0.07112584634997232,-0.08407077432263776,-0.050191424385407135,-0.03858965688728422,0.005373034722998771,0.19152119733454565,0.04005848268199408,14.479999542236328,0.09780136488947022,0.12684817995158437,0.13568623860677076,0.13613178643242896,2024
21,2024-10-31,2024-10-31,0,5,5,"AMD,AVGO,SMH,SOXL,SOXX",0.08540657315345428,0.0667859771446619,1.0,0.1775057250564213,0.0351749108485308,True,-0.025242893718604886,-0.017204355419320083,0.004692719554679758,-0.017161417487970065,0.0052104468618552335,0.058639376528578646,0.011581473567764622,0.019572534128622143,0.010170071577267584,-0.038798563598194225,-0.039771194028545676,-0.04255133208754269,-0.051402283754657496,-0.032694792144219775,-0.028206601965907963,0.0034782967868913772,23.15999984741211,0.13808350925148427,0.21383647484384083,0.1303074722361619,0.1566987041222403,2024
22,2024-11-13,2024-11-15,2,6,5,"AVGO,SMH,SOXL,SOXX,TSM",0.020696563420678517,0.0215353121194961,0.6666666666666666,0.0649092765580339,-0.0106127932928975,True,-0.0012866854086897028,0.013192820416928042,0.04347034063606947,0.027912713772543674,0.05127309989018447,0.11171081316638398,0.012393381039585982,0.01929792057329771,0.010991241776008317,-0.021244986409440503,-0.04366290157405961,-0.03954079298846436,-0.03599400570923117,-0.0320593785097667,-0.03255095544511244,-0.0016136663795949246,14.020000457763672,-0.04690683742990798,-0.1382913298521975,-0.28396320161425204,-0.24107503118290696,2024
23,2024-11-27,2024-11-27,0,1,1,TSM,0.1233090543547068,0.1233090543547068,1.0,0.1233090543547068,0.1233090543547068,True,-0.00787347634296065,0.004233129341232766,0.017970071697151146,0.004009692937995357,0.02057986987992,0.08750875996186891,0.01609865863633031,0.017481424808274193,0.011827569365836824,-0.013413686250753454,-0.0007052187710172575,-0.06390092212067056,-0.03136575419270149,-0.05778617862509916,-0.06109879749268565,-2.80677531001583e-05,14.100000381469728,0.0,-0.17832164878508772,-0.3071253013681078,-0.150781440423171,2024
24,2024-12-09,2024-12-19,10,4,3,"AMD,NVDA,SOXL",0.03395838754018023,0.0204276842297866,0.5,0.1508323579474217,-0.055854176246274,True,-0.007787495086753915,0.013759362266565933,0.016026791698426024,0.02239910791903399,0.044907553736031725,0.11678404143090715,0.014034403829584097,0.018095270118899665,0.008331006339441603,-0.0048219212031717085,-0.010359162808410871,-0.05441740649500393,0.005344438219230252,-0.024938837585764095,-0.035360612117750434,-0.006325273073520599,14.1899995803833,0.1111980479026784,0.06371809730680655,-0.05020080462283105,-0.028913639591563123,2024
25,2025-02-05,2025-02-05,0,1,1,AMD,0.0051093854530996,0.0051093854530996,1.0,0.0051093854530996,0.0051093854530996,True,0.0045379425742630985,0.011558377468353864,0.004403816633267166,0.014148198645947296,0.014880634135391757,0.09097892330801138,0.006338060515638899,0.017284030197150857,0.012558581750615055,0.019362234962108094,0.028967273748045308,-0.03634621271253902,-0.007082648482002574,0.0017836215450088844,-0.026063947406627874,-0.0003626471879573101,15.770000457763672,-0.08367220821110855,-0.0477052556555595,-0.016832945283831058,-0.06248140566138516,2025
26,2025-07-31,2025-08-06,6,4,2,"SOXL,SOXX",0.0666386474253748,0.05246203850563855,1.0,0.1464489761344882,0.0151815365557339,True,-0.00529916645018691,0.0,0.02579898212369769,0.008153452209358703,0.04249138262473506,0.1090961948754754,0.023032292935077248,0.015817048646161957,0.004510012371731071,-0.031941965269700945,-0.006333933857397667,-0.008713986879922309,-0.017641391069388113,0.04059786215948402,0.11863838313799979,0.03680870564035388,16.719999313354492,0.0801033467562382,0.08641968423404123,0.0048076878990646055,0.026333526231249627,2025
27,2025-08-19,2025-08-19,0,1,1,TSM,0.0442843583252943,0.0442843583252943,1.0,0.0442843583252943,0.0442843583252943,True,-0.013567517023556408,-0.018567270181276463,0.014307468854095617,-0.00037224979016836635,0.025244625643978003,0.1062726281014219,0.019515067637532635,0.015811724624565038,0.008779629884440083,-0.01565949036715719,-0.02002722213333108,0.006610831016639507,0.003643625102083714,0.022429392274429416,0.13715602978741415,0.031184554507914353,15.56999969482422,0.03869245714223202,0.05702648870960947,-0.05636365485913819,-0.024099794604510505,2025
28,2025-08-29,2025-08-29,0,1,1,NVDA,-0.0119193582569439,-0.0119193582569439,0.0,-0.0119193582569439,-0.0119193582569439,False,-0.01157535527697362,-0.002744729145371494,0.029826024545374308,-0.0025695202017094187,0.015573823520686592,0.10199602038604261,0.014903413310267233,0.015420308539176864,0.008777227183051335,-0.028627902880144607,-0.015135081042963683,0.034058376094880494,-0.0041082121092900215,0.00780468753482455,0.1328757477445106,0.020485523395411764,15.359999656677246,0.0644490181450581,0.0801687319438169,-0.2463199073017296,-0.01021363776519324,2025
29,2025-09-05,2025-09-05,0,2,2,"AMD,NVDA",0.0508727333977515,0.0508727333977515,1.0,0.0592343933352232,0.0425110734602798,True,0.0014429502116075632,-0.0017674577769842825,0.01198085356107259,0.005038648966182668,0.02026865631007846,0.11027189415226757,0.014452920633052146,0.01487837824745819,0.007817568086629992,0.01179505866608177,-0.021777815331351813,0.025784799603828734,-0.0009038317886949088,0.01061052348671021,0.1383705577112968,0.016373335844551695,15.18000030517578,-0.007843129677328475,0.05197505087584697,-0.0838865066535045,-0.006739494029067816,2025
30,2025-11-07,2025-11-07,0,1,1,TSM,-0.0343423800923509,-0.0343423800923509,0.0,-0.0343423800923509,-0.0343423800923509,False,-0.0031553923840142994,-0.030727985593387075,0.03433415249806804,-0.009371197777061635,0.01430964205978813,0.13245758036104816,0.018162205965573275,0.018685986701622248,0.011388255553734376,-0.010487466225239217,-0.03969988222847676,0.08231926223086239,-0.004820758857410401,0.0627829446402659,0.2772079466188506,0.04185056598709003,19.079999923706055,-0.0215384654509716,0.09403665937083971,-0.1191135707239771,0.028072625626196945,2025
31,2025-11-13,2025-11-13,0,1,1,TSM,0.0037530792017899,0.0037530792017899,1.0,0.0037530792017899,0.0037530792017899,True,-0.020415947108225807,-0.005345949962188734,0.0140170055316986,-0.017300528956404104,0.005536959311330136,0.12583248281021797,0.016665620362816602,0.019485862472904625,0.01228918684534978,-0.034337730480639594,-0.02729408952871093,0.0013842045260121782,-0.02921929615466068,0.02881661471354202,0.24686034603326568,0.039255137501923665,20.0,0.1422044396670561,0.02564102564102555,-0.20979848194337658,0.11800546714094495,2025
32,2025-12-12,2025-12-12,0,1,1,NVDA,0.0151083104856433,0.0151083104856433,1.0,0.0151083104856433,0.0151083104856433,True,-0.019118307600878626,-0.01896143289971719,0.008579757704307633,0.0010718115968519903,0.00033448870868713065,0.11707634905214603,0.007705100985538227,0.016485447652569762,0.010758747148529351,-0.04781878101077697,-0.03206203854991685,0.03490216436302429,0.014484923366777203,0.01792278216507448,0.24922438335011554,0.025845678438478847,15.739999771118164,0.059932617291983625,0.021414661062535645,-0.21300001144409175,-0.15846879094305955,2025
33,2026-06-05,2026-06-10,5,4,2,"AVGO,NVDA",-0.00330519321739255,-0.006019155016352249,0.5,0.0517541655619502,-0.0529366283988159,False,-0.04800098739080161,-0.045035285378234535,0.014562402546714814,-0.02347750582734598,0.055780579704359345,0.13563339335977798,0.04411405988560979,0.025541551971604237,0.01478081047125269,-0.10444306679538984,-0.051504166263385276,0.0962914906206711,-0.011282508493373644,0.16726975858395776,0.5674894225026796,0.11433112816804014,21.510000228881836,0.3967532962143465,0.4040470402978451,0.2513088749628156,0.2562417976907585,2026
