z_window,z_threshold,hold_days,trades,avg_return,median_return,win_rate,return_std,best_trade,worst_trade,quality_score,years_tested,positive_years
5,-1.0,2,91,0.016078674366559225,0.0027253329397052273,0.5384615384615384,0.07319189633554055,0.2573946495496595,-0.13393466551885636,2.0955978124631196,6,5
5,-1.0,3,91,0.01897336330342675,0.015242492850311873,0.5824175824175825,0.09017537116018547,0.30828048905344985,-0.166363958150599,2.0071372931432765,6,4
5,-1.0,4,91,0.03797014817832623,0.048561534882665125,0.6923076923076923,0.09398609169201079,0.24214612989888917,-0.22065430991114954,3.853890738388324,6,6
5,-1.0,5,91,0.031128512797162385,0.05586302275106658,0.6153846153846154,0.11551815303722712,0.30615797310446546,-0.2852178471674264,2.5705664311870344,6,5
5,-1.0,6,91,0.03979803099314499,0.05335341797434401,0.6043956043956044,0.1349350527609024,0.33971054429922587,-0.2773616420036179,2.813568537364367,6,5
5,-1.0,7,91,0.024285748091299107,0.011660576586263183,0.5384615384615384,0.13816915042533698,0.3266512644469932,-0.3233408597392706,1.6767221242013712,6,5
5,-1.1,1,85,0.007837821400040523,0.01511061136016778,0.611764705882353,0.05056495612967248,0.16489756166151293,-0.1243318538934356,1.4290755570059905,6,4
5,-1.1,2,85,0.012620581254336582,0.0016569933313175245,0.5058823529411764,0.07433687174618855,0.2573946495496595,-0.13393466551885636,1.5652529790130592,6,5
5,-1.1,3,85,0.017826784799244988,0.017570687727342493,0.5764705882352941,0.09151780391241034,0.30828048905344985,-0.166363958150599,1.7958782658785453,6,4
5,-1.1,4,85,0.035832699119506595,0.04585942504997731,0.6941176470588235,0.09566886258522508,0.24214612989888917,-0.22065430991114954,3.453173306652347,6,6
5,-1.1,5,85,0.03624935874046914,0.057051887006433155,0.6352941176470588,0.11367768769599115,0.30615797310446546,-0.2852178471674264,2.9399135505805982,6,5
5,-1.1,6,85,0.04411136524023519,0.05335341797434401,0.6235294117647059,0.13514475627348455,0.33971054429922587,-0.2773616420036179,3.0092672784228816,6,5
5,-1.1,7,85,0.03298350376662109,0.0211921417254064,0.5529411764705883,0.137805255422572,0.3266512644469932,-0.3233408597392706,2.206685647809055,6,5
5,-1.2,1,80,0.003354301620372711,0.01313731566174925,0.6,0.04550921764811365,0.1042675485693545,-0.1243318538934356,0.6592463529640104,6,4
5,-1.2,2,80,0.008319081073757166,-0.004292516625589049,0.4875,0.07635180291038535,0.2573946495496595,-0.13393466551885636,0.9745431061051067,6,5
5,-1.2,3,80,0.012962438805704742,0.009492997691195049,0.5375,0.09393078508748706,0.30828048905344985,-0.166363958150599,1.2343086155083443,6,3
5,-1.2,4,80,0.030860784437991527,0.037494463887275176,0.675,0.09732085038993726,0.24214612989888917,-0.22065430991114954,2.836260125793222,6,5
5,-1.2,5,80,0.030698561276314727,0.05173724963263471,0.625,0.11437280834171275,0.30615797310446546,-0.2852178471674264,2.4007129254077206,6,5
5,-1.2,6,80,0.03763221636561101,0.04751547780815646,0.6125,0.1331485290750154,0.33971054429922587,-0.2773616420036179,2.52794963705765,6,5
5,-1.2,7,80,0.029594393817955277,0.021060523584927715,0.55,0.132734958404677,0.3266512644469932,-0.3233408597392706,1.9942018930113536,6,5
5,-1.3,1,68,0.005867177487055484,0.01631803926361486,0.6323529411764706,0.04647616356318832,0.1042675485693545,-0.1243318538934356,1.0410064277567157,6,5
5,-1.3,2,68,0.012358010755537469,0.005076753191670558,0.5294117647058824,0.07593088245871331,0.2573946495496595,-0.13393466551885636,1.3420990779425093,6,5
5,-1.3,3,68,0.017221223938495036,0.009492997691195049,0.5294117647058824,0.09416085912869054,0.30828048905344985,-0.166363958150599,1.5081622227721458,6,4
5,-1.3,4,68,0.030507693162148852,0.033100811715633394,0.6617647058823529,0.09622705569929808,0.24214612989888917,-0.22065430991114954,2.6143674538800403,6,5
5,-1.3,5,68,0.031372243401471794,0.05332718148158522,0.6176470588235294,0.10933103379613354,0.30615797310446546,-0.2852178471674264,2.366227936672622,6,5
5,-1.3,6,68,0.03616285579140673,0.038787690339122216,0.6176470588235294,0.13289708247709234,0.33971054429922587,-0.2773616420036179,2.2438908570871066,6,5
5,-1.3,7,68,0.02062178907203649,0.010075708681156592,0.5441176470588235,0.1303924597118159,0.3197407029200645,-0.3233408597392706,1.304152321708363,6,4
