asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year,event_id
TSM,2022-08-29,2022-08-30,2022-09-06,-2.073422419685918,78.73262007110546,75.0582589416504,-0.0466688537246271,False,2022,9
AMD,2022-12-09,2022-12-12,2022-12-16,-2.01927367135962,68.60854091644286,65.34459365844727,-0.04757348304449,False,2022,10
TSM,2023-02-17,2023-02-21,2023-02-27,-1.970705528586442,83.99863766846633,82.80641580963135,-0.0141933475580944,False,2023,11
AVGO,2023-02-22,2023-02-23,2023-03-01,-2.01900423309051,55.854547466785625,56.48714984893799,0.0113258885953475,True,2023,11
AVGO,2023-04-12,2023-04-13,2023-04-19,-1.8682436028610416,59.45668016679983,60.81685359191894,0.022876713286098,True,2023,12
TSM,2023-04-12,2023-04-13,2023-04-19,-1.8590170024189436,82.69714294716267,83.1707361831665,0.0057268391521869,True,2023,12
AMD,2023-04-17,2023-04-18,2023-04-24,-1.999675297900345,91.70161061096192,87.4824296951294,-0.0460098888964132,False,2023,12
TSM,2023-04-21,2023-04-24,2023-04-28,-1.8404009329717823,81.5889192241063,80.37709249877929,-0.0148528346355268,False,2023,12
SOXL,2023-04-25,2023-04-26,2023-05-02,-2.27015704456012,13.360813499692426,14.048799533843994,0.0514928252061452,True,2023,12
SMH,2023-04-25,2023-04-26,2023-05-02,-2.5271287531226476,119.29966314486585,121.70753922271729,0.0201834272987639,True,2023,12
AMD,2023-04-25,2023-04-26,2023-05-02,-2.3436097063124253,86.59651213836669,89.82009365844726,0.03722530435094,True,2023,12
SOXX,2023-04-25,2023-04-26,2023-05-02,-2.4201741573861426,132.3426664229763,134.59805529785157,0.0170420389420513,True,2023,12
AVGO,2023-05-02,2023-05-03,2023-05-09,-1.882569217908047,59.24826411170819,59.284208084106446,0.0006066670971234,True,2023,13
AMD,2023-05-03,2023-05-04,2023-05-10,-2.428805975608223,81.65156969451904,96.92297664642334,0.1870313946080746,True,2023,13
AMD,2023-06-23,2023-06-26,2023-06-30,-1.9480977437292255,111.06094694519042,113.79609365844726,0.0246274391538068,True,2023,14
TSM,2023-07-20,2023-07-21,2023-07-27,-1.9669850505974389,93.90363388322588,95.12349314117432,0.0129905436829571,True,2023,15
TSM,2023-08-02,2023-08-03,2023-08-09,-1.7748247838960105,90.98712956856686,89.98192659759522,-0.011047749013932,False,2023,16
AMD,2024-02-21,2024-02-22,2024-02-28,-1.876382687257641,173.3731969451904,176.36345329284669,0.0172475123049244,True,2024,17
NVDA,2024-04-09,2024-04-10,2024-04-16,-1.769197459986391,83.86480112914772,87.1767206954956,0.0394911753412219,True,2024,18
AMD,2024-04-12,2024-04-15,2024-04-19,-1.805037400660048,164.594422668457,146.4933593902588,-0.1099737341322872,False,2024,18
AMD,2024-06-18,2024-06-20,2024-06-26,-2.039344345042315,155.97582733154294,157.3824532928467,0.0090182304871755,True,2024,19
NVDA,2024-07-17,2024-07-18,2024-07-24,-1.9461058518769525,121.7711327788875,113.94793446350096,-0.064245097642246,False,2024,20
SOXX,2024-07-19,2024-07-22,2024-07-26,-1.860556566752362,238.84703797312324,226.37825354003903,-0.0522040572028665,False,2024,20
SMH,2024-07-19,2024-07-22,2024-07-26,-1.9820042686297337,251.3533706129649,238.26893884277345,-0.0520559232537164,False,2024,20
SOXL,2024-07-19,2024-07-22,2024-07-26,-1.9878642460309763,49.54495558347721,41.41408797454834,-0.1641109072189872,False,2024,20
SOXL,2024-10-31,2024-11-01,2024-11-07,-2.4674416588944816,30.43415248329156,35.836388786315915,0.1775057250564213,True,2024,21
SOXX,2024-10-31,2024-11-01,2024-11-07,-2.6050753402528932,218.11478016852044,230.6197963256836,0.0573322731614129,True,2024,21
AMD,2024-10-31,2024-11-01,2024-11-07,-1.9664805379827888,144.58444244384765,149.67018731689453,0.0351749108485308,True,2024,21
AVGO,2024-10-31,2024-11-01,2024-11-07,-1.774268939612821,165.8628684341025,180.8293351135254,0.0902339795562445,True,2024,21
