Date,baseline,qqq_filter,z_band,combined
2022-07-27,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-07-28,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-07-29,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-01,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-02,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-03,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-04,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-05,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-08,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-09,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-10,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-11,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-12,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-15,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-16,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-17,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-18,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-19,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-22,18410.064369789616,11735.558969590049,27096.35202570669,11735.558969590049
2022-08-23,18660.87165463418,11895.436937541432,27465.495899636422,11895.436937541432
2022-08-24,18747.01197084628,11950.347378931585,27592.279178869223,11950.347378931585
2022-08-25,20803.696816666208,13261.388220787032,30619.35477561304,13261.388220787032
2022-08-26,17207.197551880417,10968.78737169705,25325.945248009924,10968.78737169705
2022-08-29,16184.655788769447,10316.964601346002,23820.944992839264,10316.964601346002
2022-08-30,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-08-31,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-01,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-02,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-06,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-07,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-08,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-09,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-12,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-13,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-14,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-15,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-16,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-19,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-20,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-21,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-22,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-23,16184.655788769445,10316.964601346002,23820.94499283926,10316.964601346002
2022-09-26,15581.136144339669,10316.964601346002,22932.671035104835,10316.964601346002
2022-09-27,16005.336080735016,10316.964601346002,23557.01816257672,10316.964601346002
2022-09-28,16592.684437697477,10316.964601346002,24421.490851118288,10316.964601346002
2022-09-29,15156.934612157856,10316.964601346002,22308.321558918084,10316.964601346002
2022-09-30,14440.920442255854,10316.964601346002,21254.47559654894,10316.964601346002
2022-10-03,14440.920442255856,10316.964601346002,21254.475596548942,10316.964601346002
2022-10-04,14440.920442255856,10316.964601346002,21254.475596548942,10316.964601346002
2022-10-05,14440.920442255856,10316.964601346002,21254.475596548942,10316.964601346002
2022-10-06,14440.920442255856,10316.964601346002,21254.475596548942,10316.964601346002
2022-10-07,14440.920442255856,10316.964601346002,21254.475596548942,10316.964601346002
2022-10-10,14440.920442255856,10316.964601346002,21254.475596548942,10316.964601346002
2022-10-11,13983.170610151526,10316.964601346002,20580.748968479103,10316.964601346002
2022-10-12,13558.317896825423,10316.964601346002,19955.44106905364,10316.964601346002
2022-10-13,12695.301979195969,10316.964601346002,18685.234586438106,10316.964601346002
2022-10-14,12695.301979195969,10316.964601346002,18685.234586438106,10316.964601346002
2022-10-17,12444.92657979134,10316.964601346002,18316.726371334986,10316.964601346002
2022-10-18,12563.77054342888,10316.964601346002,18491.643623668846,10316.964601346002
2022-10-19,12852.399307946878,10316.964601346002,18916.454012760052,10316.964601346002
2022-10-20,13073.114152112692,10316.964601346002,19241.307147148316,10316.964601346002
2022-10-21,14552.620829970048,10316.964601346002,21418.878771145028,10316.964601346002
2022-10-24,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-10-25,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-10-26,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-10-27,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-10-28,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-10-31,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
2022-11-01,14552.620829970047,10316.964601346002,21418.878771145024,10316.964601346002
