Date,Close,High,Low,Open,Volume
2021-11-23,386.177734375,388.84953859201204,381.7473995725945,386.7897955261428,70098700
2021-11-24,387.42138671875,387.7031193065727,381.37824939479043,383.7002750331125,46954400
2021-11-26,380.07635498046875,386.23607538819647,378.6869940757919,384.84671448351963,51533300
2021-11-29,388.324951171875,389.3353874223647,383.9043407569417,384.6330147582925,54447100
2021-11-30,382.62188720703125,389.782319353698,380.6107397432283,387.4408432168267,81332700
2021-12-01,376.1123352050781,389.09246237572006,375.6460028605043,386.9550069636954,77766500
2021-12-02,378.822998046875,380.6009493514841,373.41137266182295,374.82984957942165,84416600
2021-12-03,372.23577880859375,381.1838859743327,368.12604734982597,380.1831750070444,105349100
2021-12-06,375.218505859375,376.5786912592903,368.51468201368897,372.7215760878553,67588800
2021-12-07,386.517822265625,387.1299131676193,381.8154496254589,381.8543205406165,56005300
2021-12-08,388.2471618652344,388.45121190853195,384.9535711997848,386.84813523155293,39204000
2021-12-09,382.53436279296875,388.8203905916405,382.340037900193,387.0229891078201,49973700
2021-12-10,386.6927185058594,386.9550304656138,382.17491609468055,385.3422284930987,52545800
2021-12-13,381.1061706542969,387.0035488196658,380.736971138381,386.6829453531064,50166400
2021-12-14,377.1616516113281,378.99789456315466,372.7215911886639,376.28721914398113,75199200
2021-12-15,385.760009765625,386.11951385042335,372.96451072965965,376.909063672621,73858000
2021-12-16,375.84033203125,387.1493668046247,374.2566757853387,386.7218756836491,82591400
2021-12-17,373.9652099609375,378.1235083343343,370.91448063171447,372.4301201552073,80492500
2021-12-20,370.337646484375,371.1256172416419,367.2052088944607,369.2481081379167,65336800
2021-12-21,378.6259460449219,378.93725119775377,369.86098113771806,373.60626178435757,48899500
2021-12-22,383.2370300292969,383.44131102709355,377.6725771503509,378.3340782683433,37042200
2021-12-23,386.1262512207031,387.5951683998454,383.42185116342694,383.58721159285807,29595500
2021-12-27,392.5078430175781,392.5078430175781,387.39087307820034,387.4200560757079,32820700
2021-12-28,390.6886901855469,393.5779258347806,389.8131705286223,393.40282784093364,33113700
2021-12-29,390.63031005859375,392.08951932991863,388.2566606022235,390.82488316984586,32248500
2021-12-30,389.4629211425781,392.5953579163481,388.8792315554268,390.41625210349576,23850100
2021-12-31,387.03094482421875,390.15364435086724,386.53480417213575,388.7917216357938,34752900
2022-01-03,390.75677490234375,391.0097140063851,386.0873171654606,388.19828992742805,40575900
2022-01-04,385.6884460449219,391.3404472631714,382.5949296886275,391.3015267055708,58027200
2022-01-05,373.8396301269531,385.1241857874778,373.5866910641378,384.0054351251383,75739800
2022-01-06,373.5770263671875,376.8164876394273,369.79282568546137,372.02056019679407,70814300
2022-01-07,369.5301208496094,375.26970074436014,367.7596362625609,373.5867354584606,72652300
2022-01-10,369.7732849121094,370.28890060692953,359.2669916887858,364.6271624010825,91770500
2022-01-11,375.328125,375.4934854420192,366.96198507841575,369.0437750740555,68295700
2022-01-12,376.8164367675781,379.58894000178645,374.5400741286229,377.8962372540875,54576400
2022-01-13,367.38995361328125,378.87879122687906,366.4560680740918,378.19781508490973,77994000
2022-01-14,369.6760559082031,370.0068064199914,364.6660807383496,364.8703913946755,80121200
2022-01-18,360.4732971191406,365.9891209009165,359.71450953046275,363.86841067713556,75450900
2022-01-19,356.5140380859375,364.5007689267913,356.25136140354783,362.029832788458,81791500
2022-01-20,351.8834228515625,363.70301100121503,351.34839137289583,359.73397518513565,88610700
2022-01-21,342.1262512207031,352.3309798433953,341.8441290801608,349.6946830737125,143388900
2022-01-24,343.69244384765625,344.35397467492515,325.0632096858729,336.5034209388335,198685800
2022-01-25,335.7251281738281,341.48415385021434,332.38841008513276,337.24273313473367,124398400
2022-01-26,335.1998291015625,347.17507067851926,331.51288540493397,343.3130289963466,146559500
2022-01-27,331.82427978515625,341.7177045702787,330.80281521926963,339.8985612930599,95255700
2022-01-28,342.23321533203125,342.4472338873204,328.7598729741147,333.7017154948516,108167900
2022-01-31,353.1772766113281,353.7609662648605,341.96082238980597,343.5951593572345,94326400
2022-02-01,355.5801086425781,356.2319018538568,349.3736300747479,354.51975345573044,74433000
2022-02-02,358.4693603515625,360.0355938288942,354.3835919735696,359.704843271225,78777100
2022-02-03,343.9356384277344,352.0877595673493,342.87528317586026,348.78022424897017,95384800
2022-02-04,348.2744140625,351.5722121816899,342.3986553419763,344.4512625092367,86318300
2022-02-07,345.47265625,351.2316520904139,344.2177279914136,348.86774024734893,58198100
2022-02-08,349.35418701171875,350.4437252968105,343.206044188482,344.3345030373818,64720900
2022-02-09,356.7572326660156,356.8350441003599,352.27258059296145,353.86799703006915,55766400
2022-02-10,348.6829528808594,356.5237692365518,346.8443644225489,349.7433081789407,112468500
2022-02-11,337.6221618652344,350.2783816942469,336.3964163917307,348.6829650660236,101569100
2022-02-14,338.04046630859375,341.43558063007725,334.53838722726806,337.0676599665158,80254400
2022-02-15,346.44549560546875,346.67895960611054,342.252703030362,343.31305828353123,55128800
2022-02-16,346.3578796386719,347.37931413168127,341.17280668796377,344.19824898721663,58947100
2022-02-17,336.055908203125,343.84806555084964,335.63757898128034,343.14764391072606,61801400
2022-02-18,332.2231140136719,337.3789759165863,329.91756765920456,336.98985930484275,80001500
2022-02-22,328.88623046875,334.6841754461255,325.2576831875964,329.2850844804195,85967100
2022-02-23,320.4618225097656,332.8748090871975,320.1505174094211,332.038210028671,86215400
2022-02-24,331.2308044433594,331.76586571589667,309.60533959972105,310.1695541857817,130614100
2022-02-25,336.3672180175781,336.57152871228726,328.21512629807074,332.0285103049562,78842100
2022-02-28,337.36920166015625,339.0619047530669,332.0382423149123,333.1958841481367,77515500
2022-03-01,332.2035217285156,338.6143099045402,329.68395767300495,336.3476849169218,67407000
2022-03-02,337.7778015136719,339.11054138217366,330.9876029156235,333.75036921925533,70609000
