signal_date,entry_date,day,cumulative_return
2024-08-22,2024-08-23,8,-0.22779717155657953
2024-08-22,2024-08-23,9,-0.2418140304097658
2024-08-22,2024-08-23,10,-0.33840311192956163
2024-10-15,2024-10-16,1,-0.038009847903475724
2024-10-15,2024-10-16,2,-0.017072547209610933
2024-10-15,2024-10-16,3,-0.015397786742148756
2024-10-15,2024-10-16,4,-0.020422605615802225
2024-10-15,2024-10-16,5,-0.031589108655594944
2024-10-15,2024-10-16,6,-0.0564344704248807
2024-10-15,2024-10-16,7,-0.04275550420113439
2024-10-15,2024-10-16,8,-0.015118624166153838
2024-10-15,2024-10-16,9,-0.013164378639936913
2024-10-15,2024-10-16,10,0.06025505636394102
2024-10-23,2024-10-24,1,-0.010367622524128595
2024-10-23,2024-10-24,2,0.01820433732005733
2024-10-23,2024-10-24,3,0.020224703751799078
2024-10-23,2024-10-24,4,0.09612824807584985
2024-10-23,2024-10-24,5,-0.018448643726029168
2024-10-23,2024-10-24,6,-0.13158244046193557
2024-10-23,2024-10-24,7,-0.11022562255381307
2024-10-23,2024-10-24,8,-0.12407869062580412
2024-10-23,2024-10-24,9,-0.09435218805007983
2024-10-23,2024-10-24,10,-0.015274067956549509
2024-10-31,2024-11-01,1,0.002554610193488571
2024-10-31,2024-11-01,2,-0.013054354969973758
2024-10-31,2024-11-01,3,0.020440026254803012
2024-10-31,2024-11-01,4,0.10954141630915748
2024-10-31,2024-11-01,5,0.1775057469075101
2024-10-31,2024-11-01,6,0.15149072149019216
2024-10-31,2024-11-01,7,0.06564122526516725
2024-10-31,2024-11-01,8,0.029870518359859544
2024-10-31,2024-11-01,9,-0.03451666641756945
2024-10-31,2024-11-01,10,-0.03744343347262702
2024-11-27,2024-11-29,1,0.01647681693124392
2024-11-27,2024-11-29,2,0.09399869044653797
2024-11-27,2024-11-29,3,0.0769728124596798
2024-11-27,2024-11-29,4,0.11863173613009415
2024-11-27,2024-11-29,5,0.05487560558245552
2024-11-27,2024-11-29,6,0.0726259192711034
2024-11-27,2024-11-29,7,0.058860246047907516
2024-11-27,2024-11-29,8,-0.01974824614784132
2024-11-27,2024-11-29,9,0.05487560558245552
2024-11-27,2024-11-29,10,0.030966925856229288
2024-12-10,2024-12-11,1,0.025831948381205727
2024-12-10,2024-12-11,2,0.002581541056415393
2024-12-10,2024-12-11,3,0.08149167528015422
2024-12-10,2024-12-11,4,0.14525395250129458
2024-12-10,2024-12-11,5,0.09663966793115386
2024-12-10,2024-12-11,6,-0.01961196174759261
2024-12-10,2024-12-11,7,-0.07351036197643956
2024-12-10,2024-12-11,8,-0.03828267556299614
2024-12-10,2024-12-11,9,0.045337306811429556
2024-12-10,2024-12-11,10,0.07677863939203045
2024-12-30,2024-12-31,1,-0.03349527322484358
2024-12-30,2024-12-31,2,-0.02075476050808578
2024-12-30,2024-12-31,3,0.055334052177110626
2024-12-30,2024-12-31,4,0.14982582012599188
2024-12-30,2024-12-31,5,0.10240287228856637
2024-12-30,2024-12-31,6,0.06807449694917822
2024-12-30,2024-12-31,7,-0.006952612005012737
2024-12-30,2024-12-31,8,-0.014384538122051982
2024-12-30,2024-12-31,9,-0.0048292045430015085
2024-12-30,2024-12-31,10,0.059580935045823624
2025-05-21,2025-05-22,1,-0.029050448901846382
