Date,buy_hold,fixed_5d,stop_target_5d
2024-09-03,7016.420335390895,5443.224212961416,10974.86559361966
2024-09-04,7070.088035993513,5443.224212961416,10974.86559361966
2024-09-05,6941.753325953814,5443.224212961416,10974.86559361966
2024-09-06,6057.408394766112,5443.224212961416,10974.86559361966
2024-09-09,6400.413457176441,5487.802857416777,11064.74699701259
2024-09-10,6615.082909467398,5671.863409374012,11435.857893750588
2024-09-11,7518.09324289486,6446.116935527657,12996.941555284957
2024-09-12,7422.425574503803,6364.090155934195,13156.668873631246
2024-09-13,7800.431585157478,6688.197727931753,13156.668873631246
2024-09-16,7504.093853685163,6681.509530203822,13156.668873631246
2024-09-17,7504.093853685163,6681.509530203822,13156.668873631246
2024-09-18,7266.0902858853615,6681.509530203822,13156.668873631246
2024-09-19,8194.769091456208,6681.509530203822,13156.668873631246
2024-09-20,7828.431263656547,6681.509530203822,13156.668873631246
2024-09-23,7914.765105828132,6681.509530203822,13156.668873631246
2024-09-24,8197.60254226999,6681.509530203822,13156.668873631246
2024-09-25,8354.215505467862,6681.509530203822,13156.668873631246
2024-09-26,9268.176208209316,6681.509530203822,13156.668873631246
2024-09-27,8803.015032681522,6681.509530203822,13156.668873631246
2024-09-30,8573.939355168215,6681.509530203822,13156.668873631246
2024-10-01,7907.753485167603,6681.509530203822,13156.668873631246
2024-10-02,8171.889966222577,6681.509530203822,13156.668873631246
2024-10-03,8230.327639057605,6681.509530203822,13156.668873631246
2024-10-04,8573.939355168215,6681.509530203822,13156.668873631246
2024-10-07,8510.826668506386,6681.509530203822,13156.668873631246
2024-10-08,8756.263994333825,6681.509530203822,13156.668873631246
2024-10-09,9025.07728937495,6681.509530203822,13156.668873631246
2024-10-10,8842.75265020934,6681.509530203822,13156.668873631246
2024-10-11,9039.100530696009,6681.509530203822,13156.668873631246
2024-10-14,9541.662716917894,6681.509530203822,13156.668873631246
2024-10-15,8057.353027545598,6681.509530203822,13156.668873631246
2024-10-16,8055.0146205525225,6681.509530203822,13156.668873631246
2024-10-17,8230.327639057605,6681.509530203822,13156.668873631246
2024-10-18,8244.352680538012,6681.509530203822,13156.668873631246
2024-10-21,8202.277556096791,6681.509530203822,13156.668873631246
2024-10-22,8108.777279560748,6681.509530203822,13156.668873631246
2024-10-23,7900.740064347725,6681.509530203822,13156.668873631246
2024-10-24,8015.277903104378,6681.509530203822,13156.668873631246
2024-10-25,8246.690187451411,6681.509530203822,13156.668873631246
2024-10-28,8263.051835765546,6681.509530203822,13156.668873631246
2024-10-29,8877.813453751009,6681.509530203822,13156.668873631246
2024-10-30,7949.827709529148,6681.509530203822,13156.668873631246
2024-10-31,7033.529049834457,6681.509530203822,13156.668873631246
2024-11-01,7206.503661346463,6705.283466023595,13203.482516564743
2024-11-04,7094.303779543047,6600.887208462314,12997.914151186958
2024-11-05,7335.065641503848,6824.903820139603,13439.028897593826
2024-11-06,7975.54028557656,7420.83275365876,14612.482234012039
2024-11-07,8464.076530238364,7875.390769282111,15492.052241394807
2024-11-08,8277.076877245952,7867.515378512829,15492.05224139481
2024-11-11,7659.978652426762,7867.515378512829,15492.05224139481
2024-11-12,7402.853792032316,7867.515378512829,15492.05224139481
2024-11-13,6940.02922333825,7867.515378512829,15492.05224139481
2024-11-14,6918.99166111764,7867.515378512829,15492.05224139481
2024-11-15,6231.767328816745,7867.515378512829,15492.05224139481
2024-11-18,6467.854626990579,8145.1935668522465,16038.83286946945
2024-11-19,6509.929751431799,8198.180229770269,16143.169767528156
2024-11-20,6341.629703706757,7986.234144848945,15725.82329129147
2024-11-21,6659.5292938097955,8386.57611997726,16514.143173073946
2024-11-22,6659.5292938097955,8386.57611997726,16497.629029900872
2024-11-25,6855.878974455811,8378.189543857285,16497.629029900872
2024-11-26,6575.37949496719,8378.189543857285,16497.629029900872
2024-11-27,6306.567100005741,8378.189543857285,16497.629029900872
2024-11-29,6559.016496533547,8378.189543857285,16497.629029900872
2024-12-02,7059.2416258818685,8378.189543857285,16497.629029900872
2024-12-03,6949.378800952018,8378.189543857285,16497.629029900872
2024-12-04,7218.191195913468,8378.189543857285,16497.629029900872
2024-12-05,6806.791779314225,8378.189543857285,16497.629029900872
2024-12-06,6921.329168031039,8378.189543857285,16497.629029900872
