Date,Close,High,Low,Open,Volume
2022-05-31,137.3626708984375,138.58113182590034,135.25456350906575,137.83330172678262,2807100
2022-06-01,135.18365478515625,138.75842773998,133.31407206501495,138.06216853354772,2466000
2022-06-02,139.89308166503906,140.03169608256053,134.45195670797898,134.71305763602265,2005800
2022-06-03,135.7091064453125,137.63670877757747,135.0805311649347,136.86308560860806,2065500
2022-06-06,135.94439697265625,139.01952985824317,135.04183918483696,138.56181013064244,2241900
2022-06-07,137.03067016601562,137.4174742613191,133.29472161632094,134.32944544248485,1866600
2022-06-08,134.11349487304688,136.83406478776635,133.1013469531539,136.27963661705084,3396000
2022-06-09,130.3066864013672,135.2750292101813,130.30346481084868,132.95712438799305,2517000
2022-06-10,125.67732238769531,129.2704155635972,125.41584154482597,128.1631046358138,3599100
2022-06-13,118.42658996582031,122.65242288469531,117.9713998905562,121.06087580558496,4042800
2022-06-14,119.08515930175781,120.26025665157913,117.68731408225005,119.72759324091682,2831100
2022-06-15,121.13190460205078,123.2625731665647,118.41690891378678,120.48947800846538,3811200
2022-06-16,113.83271789550781,117.71312330965215,112.39935408572414,117.59367324676668,3921300
2022-06-17,114.29438781738281,115.12082931187945,111.67301038943526,114.08777744375865,3400200
2022-06-21,117.28697967529297,119.04962536616576,116.62195039385786,116.70588906964758,2830200
2022-06-22,116.0634765625,117.72281739728469,115.09498957894522,115.26609594093082,4106700
2022-06-23,115.27577209472656,116.8511815808679,113.46147723828561,116.75110538367218,2178900
2022-06-24,120.3829345703125,120.3829345703125,116.82535275850397,117.08039042178737,3783600
2022-06-27,120.05364990234375,121.7710976532942,119.13036121084417,121.47086904209007,2497500
2022-06-28,117.12557220458984,122.1713877710988,116.94155733990789,120.76385582490016,3039900
2022-06-29,114.36216735839844,115.6567073174849,112.9417193695696,115.52111973850764,3393600
2022-06-30,112.86424255371094,115.11436099139789,111.08545167937918,112.75770839668367,3285600
2022-07-01,108.87083435058594,111.5858295252909,107.46330236344053,110.98536500499667,3875100
2022-07-05,109.72956848144531,109.72956848144531,105.46822465313284,106.11388012204007,3391200
2022-07-06,110.26545715332031,111.55677543714918,108.63516994431478,109.83609897775267,2672100
2022-07-07,115.20149993896484,115.77936894130983,112.85453471738828,112.85453471738828,2866200
2022-07-08,115.75032806396484,116.54125803765527,113.19029429035633,113.53249220277904,2334000
2022-07-11,113.08375549316406,114.56553918932102,112.34770341930013,113.9973570855029,2490000
2022-07-12,113.40013885498047,114.65594592618788,112.57369740625869,113.81981753859125,4494300
2022-07-13,114.03936004638672,114.94974031696006,110.85949444851933,111.08547133163523,3564600
2022-07-14,116.45733642578125,116.95449585993491,112.0765493197844,113.73589023482941,3186900
2022-07-15,119.23688507080078,119.42735052271769,116.38307315971494,118.23611573095992,2984100
2022-07-18,118.85594940185547,122.14234857106314,118.10053075841174,121.21260197998092,2959200
