strategy,signal_date,entry_date,exit_date,z_score,qqq_trend,entry_price,exit_price,return,capital_before,capital_after,exit_reason
Z Band,2023-09-20,2023-09-21,2023-09-27,-1.9478156540877032,-0.021500635425211523,17.477869553505503,17.364379789352416,-0.0064933408391484315,18106.902865519012,17989.328573671843,time_exit
Z Band,2023-10-20,2023-10-23,2023-10-27,-1.9680918050185376,-0.03095820323634868,16.090271495904496,14.830435366630555,-0.0782980032123517,17989.328573671843,16580.800067222433,time_exit
Z Band,2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,0.0111875559059893,49.54495919421819,43.55596452682109,-0.12087999999999999,16580.800067222433,14576.512955096587,stop
Z Band,2024-08-02,2024-08-05,2024-08-05,-1.8229626145733344,-0.05227773747042186,23.282668078567237,27.911262492586403,0.19879999999999987,14576.512955096587,17474.323730569788,target
Z Band,2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,0.015188131679471306,25.604750189263072,30.69497452688857,0.19879999999999987,17474.323730569788,20948.21928820706,target
Z Band,2025-01-27,2025-01-28,2025-02-03,-1.9231148865239327,-0.004634719578046065,25.29927517544904,25.417449182510374,0.004671043191625257,20948.21928820706,21046.06932528991,time_exit
Z Band,2025-03-06,2025-03-07,2025-03-10,-1.8360932303381767,-0.06065932139252217,19.392131772720763,17.048010884034277,-0.12087999999999999,21046.06932528991,18502.02046524887,stop
Z Band,2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,0.04249138262473506,23.596724056565943,24.96774598503113,0.058102214747207226,18502.02046524887,19577.02883157798,time_exit
Z Band,2025-11-17,2025-11-18,2025-11-20,-1.824434740678191,-0.004236850504096723,35.345311374664306,31.072770135694885,-0.12087999999999999,19577.02883157798,17210.557586416835,stop
Z Band,2026-03-03,2026-03-04,2026-03-06,-1.9811269846378825,-0.022997131242132318,56.01595908355712,49.24474994953674,-0.12087999999999999,17210.557586416835,15130.145385370768,stop
Z Band,2026-03-27,2026-03-30,2026-03-30,-1.9061214223578855,-0.0713117299679411,47.90786061096191,42.11675842030884,-0.12087999999999988,15130.145385370768,13301.213411187151,stop
Combined,2021-12-16,2021-12-17,2021-12-23,-1.823981078872049,0.0007616622749619939,55.68676980434422,65.35153708648681,0.17355589695900497,10000.0,11735.558969590049,time_exit
Combined,2022-08-22,2022-08-23,2022-08-29,-1.8369111918635432,0.04516405800493106,16.615895715491366,14.607366241402769,-0.1208800000000001,11735.558969590049,10316.964601346002,stop
Combined,2024-07-19,2024-07-22,2024-07-24,-1.987863946540271,0.0111875559059893,49.54495919421819,43.55596452682109,-0.12087999999999999,10316.964601346002,9069.849920335299,stop
Combined,2024-12-19,2024-12-20,2024-12-26,-1.80504257149592,0.015188131679471306,25.604750189263072,30.69497452688857,0.19879999999999987,9069.849920335299,10872.936084497955,target
Combined,2025-07-31,2025-08-01,2025-08-07,-1.953585939832439,0.04249138262473506,23.596724056565943,24.96774598503113,0.058102214747207226,10872.936084497955,11504.677751812113,time_exit
