strategy,signal_date,entry_date,exit_date,position_fraction,capital_before,invested_capital,cash_held,position_return,account_return,capital_after,exit_reason
50% Allocation,2024-07-19,2024-07-22,2024-07-24,0.5,12033.043640713351,6016.521820356676,6016.521820356676,-0.12087999999999999,-0.06043999999999994,11305.766483068637,stop
50% Allocation,2024-10-31,2024-11-01,2024-11-07,0.5,11305.766483068637,5652.883241534319,5652.883241534319,0.17750567337330847,0.08875283668665412,12309.185329357877,time_exit
50% Allocation,2024-11-15,2024-11-18,2024-11-22,0.5,12309.185329357877,6154.5926646789385,6154.5926646789385,0.06490920459325333,0.03245460229662678,12708.675043817659,time_exit
50% Allocation,2024-12-19,2024-12-20,2024-12-26,0.5,12708.675043817659,6354.337521908829,6354.337521908829,0.19879999999999987,0.09939999999999993,13971.917343173132,target
50% Allocation,2025-07-31,2025-08-01,2025-08-07,0.5,13971.917343173132,6985.958671586566,6985.958671586566,0.058102214747207226,0.029051107373603724,14377.81701412477,time_exit
75% Allocation,2021-04-30,2021-05-03,2021-05-04,0.75,10000.0,7500.0,2500.0,-0.12087999999999999,-0.09066000000000007,9093.4,stop
75% Allocation,2021-05-10,2021-05-11,2021-05-17,0.75,9093.4,6820.049999999999,2273.3500000000004,0.06953342050918354,0.0521500653818876,9567.621404543657,time_exit
75% Allocation,2021-07-16,2021-07-19,2021-07-23,0.75,9567.621404543657,7175.716053407743,2391.9053511359143,0.1777047993783485,0.1332785995337613,10842.780586210474,time_exit
75% Allocation,2021-08-18,2021-08-19,2021-08-25,0.75,10842.780586210474,8132.085439657856,2710.695146552618,0.1705221696965895,0.1278916272724422,12229.481439538977,time_exit
75% Allocation,2021-12-16,2021-12-17,2021-12-23,0.75,12229.481439538977,9172.111079654233,3057.370359884744,0.17355589695900497,0.13016692271925367,13821.355404975995,time_exit
75% Allocation,2022-08-22,2022-08-23,2022-08-29,0.75,13821.355404975995,10366.016553731995,3455.3388512439997,-0.1208800000000001,-0.09066000000000007,12568.31132396087,stop
75% Allocation,2023-04-25,2023-04-26,2023-05-02,0.75,12568.31132396087,9426.233492970652,3142.077830990218,0.05149252952442196,0.038619397143316636,13053.691930401757,time_exit
75% Allocation,2024-07-19,2024-07-22,2024-07-24,0.75,13053.691930401757,9790.268947801318,3263.4229826004394,-0.12087999999999999,-0.09065999999999996,11870.244219991535,stop
75% Allocation,2024-10-31,2024-11-01,2024-11-07,0.75,11870.244219991535,8902.68316499365,2967.5610549978846,0.17750567337330847,0.13312925502998119,13450.52099002295,time_exit
75% Allocation,2024-11-15,2024-11-18,2024-11-22,0.75,13450.52099002295,10087.890742517211,3362.630247505738,0.06490920459325333,0.048681903444939945,14105.317954143386,time_exit
75% Allocation,2024-12-19,2024-12-20,2024-12-26,0.75,14105.317954143386,10578.98846560754,3526.3294885358464,0.19879999999999987,0.1490999999999998,16208.420861106162,target
75% Allocation,2025-07-31,2025-08-01,2025-08-07,0.75,16208.420861106162,12156.315645829622,4052.1052152765405,0.058102214747207226,0.043576661060405364,16914.72972329499,time_exit
100% Allocation,2021-04-30,2021-05-03,2021-05-04,1.0,10000.0,10000.0,0.0,-0.12087999999999999,-0.12087999999999988,8791.2,stop
100% Allocation,2021-05-10,2021-05-11,2021-05-17,1.0,8791.2,8791.2,0.0,0.06953342050918354,0.06953342050918354,9402.482206380335,time_exit
100% Allocation,2021-07-16,2021-07-19,2021-07-23,1.0,9402.482206380335,9402.482206380335,0.0,0.1777047993783485,0.1777047993783485,11073.348420523644,time_exit
100% Allocation,2021-08-18,2021-08-19,2021-08-25,1.0,11073.348420523644,11073.348420523644,0.0,0.1705221696965895,0.1705221696965895,12961.599818997638,time_exit
100% Allocation,2021-12-16,2021-12-17,2021-12-23,1.0,12961.599818997638,12961.599818997638,0.0,0.17355589695900497,0.17355589695900497,15211.16190160745,time_exit
100% Allocation,2022-08-22,2022-08-23,2022-08-29,1.0,15211.16190160745,15211.16190160745,0.0,-0.1208800000000001,-0.1208800000000001,13372.43665094114,stop
100% Allocation,2023-04-25,2023-04-26,2023-05-02,1.0,13372.43665094114,13372.43665094114,0.0,0.05149252952442196,0.05149252952442196,14061.017240003188,time_exit
100% Allocation,2024-07-19,2024-07-22,2024-07-24,1.0,14061.017240003188,14061.017240003188,0.0,-0.12087999999999999,-0.12087999999999999,12361.321476031602,stop
100% Allocation,2024-10-31,2024-11-01,2024-11-07,1.0,12361.321476031602,12361.321476031602,0.0,0.17750567337330847,0.17750567337330847,14555.526168418532,time_exit
100% Allocation,2024-11-15,2024-11-18,2024-11-22,1.0,14555.526168418532,14555.526168418532,0.0,0.06490920459325333,0.06490920459325333,15500.313794446864,time_exit
100% Allocation,2024-12-19,2024-12-20,2024-12-26,1.0,15500.313794446864,15500.313794446864,0.0,0.19879999999999987,0.1988000000000001,18581.7761767829,target
100% Allocation,2025-07-31,2025-08-01,2025-08-07,1.0,18581.7761767829,18581.7761767829,0.0,0.058102214747207226,0.058102214747207226,19661.418526590878,time_exit
1% Account Risk,2021-04-30,2021-05-03,2021-05-04,0.08333333333333334,10000.0,833.3333333333334,9166.666666666666,-0.12087999999999999,-0.010073333333333379,9899.266666666666,stop
1% Account Risk,2021-05-10,2021-05-11,2021-05-17,0.08333333333333334,9899.266666666666,824.938888888889,9074.327777777777,0.06953342050918354,0.005794451709098647,9956.627489322156,time_exit
1% Account Risk,2021-07-16,2021-07-19,2021-07-23,0.08333333333333334,9956.627489322156,829.7189574435131,9126.908531878644,0.1777047993783485,0.014808733281528985,10104.072530195068,time_exit
1% Account Risk,2021-08-18,2021-08-19,2021-08-25,0.08333333333333334,10104.072530195068,842.0060441829224,9262.066486012145,0.1705221696965895,0.014210180808049033,10247.653227746781,time_exit
1% Account Risk,2021-12-16,2021-12-17,2021-12-23,0.08333333333333334,10247.653227746781,853.9711023122319,9393.682125434549,0.17355589695900497,0.014462991413250581,10395.864948385652,time_exit
1% Account Risk,2022-08-22,2022-08-23,2022-08-29,0.08333333333333334,10395.864948385652,866.3220790321377,9529.542869353514,-0.1208800000000001,-0.010073333333333379,10291.143935472246,stop
1% Account Risk,2023-04-25,2023-04-26,2023-05-02,0.08333333333333334,10291.143935472246,857.5953279560206,9433.548607516226,0.05149252952442196,0.004291044127035182,10335.303688217027,time_exit
