asset,signal_date,entry_date,exit_date,z_score,entry_price,exit_price,return,winner,year
SMH,2021-04-30,2021-05-03,2021-05-07,-1.798332944076723,118.77244593820251,118.06018924713135,-0.005996817573679869,False,2021
SMH,2021-05-10,2021-05-11,2021-05-17,-2.1595163434389937,109.73510059833043,111.82762799835206,0.019068897632682047,True,2021
SMH,2022-08-26,2022-08-29,2022-09-02,-2.101835526355872,107.84752281514538,101.25889974975586,-0.0610920204136971,False,2022
SMH,2023-04-25,2023-04-26,2023-05-02,-2.5271287531226476,119.29966314486585,121.70753922271729,0.02018342729876399,True,2023
SMH,2024-07-19,2024-07-22,2024-07-26,-1.9820042686297337,251.3533706129649,238.26893884277345,-0.05205592325371644,False,2024
SMH,2024-10-31,2024-11-01,2024-11-07,-2.3114987118472623,242.60071533834738,258.80304116821287,0.06678597714466195,True,2024
SMH,2024-11-15,2024-11-18,2024-11-22,-1.9586776647395203,237.47429547990947,242.54234060668946,0.021341447151313808,True,2024
NVDA,2021-01-06,2021-01-07,2021-01-13,-2.4765004858432733,12.928297476723126,13.463886222839356,0.04142763168008279,True,2021
NVDA,2021-07-16,2021-07-19,2021-07-23,-1.9300296848118674,17.87135433091136,19.471089025497438,0.08951390392495795,True,2021
NVDA,2021-08-18,2021-08-19,2021-08-25,-1.7795491644454873,19.446231139300174,22.114292404174805,0.13720197223628428,True,2021
NVDA,2021-12-13,2021-12-14,2021-12-20,-2.304571617533866,27.639384982994603,27.604078342437745,-0.0012774032627201892,False,2021
NVDA,2021-12-16,2021-12-17,2021-12-23,-1.7963181583172998,27.924768831129136,29.51710899925232,0.057022501341107645,True,2021
NVDA,2022-08-26,2022-08-29,2022-09-02,-2.2612588487077083,15.99162185901519,13.595607473373413,-0.14982935481875703,False,2022
NVDA,2024-04-09,2024-04-10,2024-04-16,-1.769197459986391,83.86480112914772,87.1767206954956,0.03949117534122193,True,2024
NVDA,2024-07-17,2024-07-18,2024-07-24,-1.9461058518769523,121.7711327788875,113.94793446350097,-0.06424509764224606,False,2024
NVDA,2024-12-16,2024-12-17,2024-12-23,-1.768201592314046,129.02637457552365,139.32225398254394,0.07979670389788218,True,2024
