signal_date,entry_date,exit_date,trade_return,exit_reason,winner,z_score,soxl_return_1d,soxl_return_5d,soxl_return_10d,volatility_20d,volume_ratio,qqq_trend,soxx_trend,vix_level,vix_change_5d
2022-05-09,2022-05-10,2022-05-12,-0.1208800000000001,stop,False,-2.274865364334549,-0.15546032524834197,-0.195101991054352,-0.23178806426106047,0.09287674957517618,1.247167799776177,-0.12420134979738684,-0.12100538484125123,34.75,0.07452071230801338
2022-06-13,2022-06-14,2022-06-16,-0.1208799999999999,stop,False,-2.4465291268867113,-0.17331184913660125,-0.34964441920735423,-0.38440211503390864,0.09056260281632741,1.414262688531149,-0.13141687432529114,-0.11440091785852424,34.02000045776367,0.357000433661242
2022-08-22,2022-08-23,2022-08-29,-0.1208800000000001,stop,False,-1.8369111918635432,-0.11111121348898068,-0.21763076438149354,-0.17039928643738966,0.07534408603649816,0.8615730656943301,0.04516405800493106,0.02344136702004107,23.799999237060547,0.192982372275049
2022-09-23,2022-09-26,2022-09-30,-0.1077400328602335,time_exit,False,-1.857484103410753,-0.04567068816071118,-0.16560271878114086,-0.31311740176932634,0.06499911081747212,1.3541852617983026,-0.1012085442201347,-0.13486687006479192,29.920000076293945,0.13764262145423523
2022-10-10,2022-10-11,2022-10-13,-0.1208799999999999,stop,False,-1.881414730683287,-0.10097728344852008,-0.14639199603439812,-0.1329844571695209,0.0792997103240643,1.5039913828751759,-0.11402153053992536,-0.152249708618042,32.45000076293945,0.07807310138495693
2022-10-14,2022-10-17,2022-10-21,0.1462996984095141,time_exit,True,-1.806409726506276,-0.13375012615837223,-0.24755695067683658,-0.2178328226691829,0.07903966354785322,1.3641463850114255,-0.12002325180423612,-0.17647437843626257,32.02000045776367,0.021045913092050617
2022-12-16,2022-12-19,2022-12-22,-0.1208799999999999,stop,False,-1.8094121085494084,-0.025438587760965636,-0.09821432611835546,-0.14735221976244184,0.06786572731545881,0.8996839591369907,-0.01349548198357986,0.041311526288051015,22.6200008392334,-0.009198383056260973
2023-04-25,2023-04-26,2023-05-02,0.0514925295244219,time_exit,True,-2.270155142466491,-0.09774430188699323,-0.16349796801652627,-0.1856876942016178,0.04281359137482464,1.3384069817195177,0.0118196824384591,-0.046262889953116004,18.760000228881836,0.11467619215239933
2023-08-09,2023-08-10,2023-08-14,-0.1208799999999999,stop,False,-1.887823678332915,-0.05600982038283975,-0.08662967388726661,-0.07861117956666563,0.05365828241208846,0.974730849028405,-0.0007481393554674698,-0.00904444349649458,15.960000038146973,-0.008079559553018978
2023-08-16,2023-08-17,2023-08-23,0.0938332437242395,time_exit,True,-1.8761979734322871,-0.05825689639511111,-0.11087054899417137,-0.18789554337837067,0.055684010815392496,1.0137330056524212,-0.019435603615409636,-0.046611665731484564,16.780000686645508,0.051378486625225595
2023-09-20,2023-09-21,2023-09-27,-0.0064933408391484,time_exit,False,-1.9478156540877032,-0.048893497941203456,-0.1280901036224611,-0.21029676499804928,0.04413629449227762,1.0262406859927926,-0.021500635425211523,-0.0655040851377856,15.140000343322754,0.12314546420311179
2023-10-20,2023-10-23,2023-10-27,-0.0782980032123517,time_exit,False,-1.9680918050185376,-0.04532430146433952,-0.12328780425477548,-0.1453519951238046,0.04257236833201854,1.0804747476201522,-0.03095820323634868,-0.05319778244131235,21.709999084472656,0.1237059745031317
2024-04-15,2024-04-16,2024-04-18,-0.1208800000000001,stop,False,-2.157967670370161,-0.04167673105639558,-0.09590926454149395,-0.1710774761558349,0.04452142987097944,0.9550375670909591,-0.014952892611754476,-0.01142693948762008,19.229999542236328,0.2659644551320708
2024-07-19,2024-07-22,2024-07-24,-0.1208799999999999,stop,False,-1.987863946540271,-0.0902051661717933,-0.2649358316618178,-0.22710074550460546,0.06662514928619623,1.4279605391766188,0.0111875559059893,-0.025797200222671623,16.520000457763672,0.3258427293087307
2024-08-02,2024-08-05,2024-08-05,0.1987999999999998,target,True,-1.8229626145733344,-0.16171430637125028,-0.30009539609624125,-0.3757447211192736,0.10799564711782862,2.3241878736479413,-0.05227773747042186,-0.14989929601866148,23.38999938964844,0.4270897047391624
2024-09-06,2024-09-09,2024-09-12,0.1987999999999998,target,True,-2.1511462750283177,-0.12739503835166766,-0.2826747480621684,-0.307917925355368,0.08490106153403845,1.5756233646286644,-0.049981330574663696,-0.12283884957820868,22.3799991607666,0.4300319301137696
2024-10-31,2024-11-01,2024-11-07,0.1775056733733084,time_exit,True,-2.467441973371459,-0.11526019093424633,-0.12248469299981268,-0.14541323768736192,0.057624318546242496,1.7413173464844527,0.0052104468618552335,-0.032694792144219775,23.15999984741211,0.21383647484384083
2024-11-15,2024-11-18,2024-11-22,0.0649092045932533,time_exit,True,-2.2377183883416953,-0.09932434752925934,-0.24710529801310088,-0.1352578696043566,0.057546446755509045,1.4410956977988558,0.015060231388922984,-0.06491415453640348,16.139999389648438,0.08032127462980498
2024-12-19,2024-12-20,2024-12-26,0.1987999999999998,target,True,-1.80504257149592,-0.05497659918915743,-0.07589591194353751,-0.09684066601586194,0.05483647422173322,1.1700566196126931,0.015188131679471306,-0.046422859157622454,24.09000015258789,0.7306034497523943
2025-01-27,2025-01-28,2025-02-03,0.0046710431916252,time_exit,True,-1.9231148865239327,-0.2324655924690524,-0.22868583099607587,-0.10691370990778626,0.07200028993724832,2.643842486348554,-0.004634719578046065,-0.034168450103251535,17.899999618530273,0.120851554115881
2025-02-27,2025-02-28,2025-03-04,-0.1208799999999999,stop,False,-2.598748765406858,-0.172689240339569,-0.3138801644891619,-0.21023961853440387,0.06006194538005688,2.0146522464744843,-0.04259063306103994,-0.07226537830906077,21.1299991607666,0.34929753299189437
2025-03-06,2025-03-07,2025-03-10,-0.1208799999999999,stop,False,-1.8360932303381767,-0.12391806896334567,-0.11586209587269891,-0.393375446651279,0.0671238153916603,1.929612174353367,-0.06065932139252217,-0.09793531787387755,24.8700008392334,0.17699961320448576
2025-03-28,2025-03-31,2025-04-03,-0.1208799999999999,stop,False,-2.2887367736444517,-0.09740985274995428,-0.16598694285002435,-0.18789025366027357,0.07190956527438315,1.2034180379072277,-0.07552539942480219,-0.11137792635236743,21.649999618530273,0.12292525142524346
2025-07-31,2025-08-01,2025-08-07,0.0581022147472072,time_exit,True,-1.953585939832439,-0.09525541019285777,-0.024980567244334728,-0.08565156555573461,0.03520787107511846,1.441878943547092,0.04249138262473506,0.04059786215948402,16.719999313354492,0.08641968423404123
2025-11-17,2025-11-18,2025-11-20,-0.1208799999999999,stop,False,-1.824434740678191,-0.051981482913965316,-0.18060496212708066,-0.24166326134146043,0.0656275759789429,1.1801836002728152,-0.004236850504096723,0.0026199627948932935,22.3799991607666,0.2715908338462043
2026-03-03,2026-03-04,2026-03-06,-0.1208799999999999,stop,False,-1.9811269846378825,-0.14882091144644438,-0.22048739062456169,-0.1698523786223768,0.07123164912569321,1.5344026418264867,-0.022997131242132318,-0.007318059505641017,23.56999969482422,0.2056266299050813
2026-03-27,2026-03-30,2026-03-30,-0.1208799999999998,stop,False,-1.9061214223578855,-0.04819278234679358,-0.08858034480567123,-0.08103313311187232,0.07263369218618357,1.0268212468843283,-0.0713117299679411,-0.06217992796402827,31.049999237060547,0.159447290550085
