z_window,z_threshold,hold_days,year,trades,avg_return,median_return,win_rate
4,-1.4,4,2022,4,0.07681216100388144,0.11371333282474494,0.75
4,-1.4,4,2023,9,0.04080163596725677,-2.853145255610201e-06,0.4444444444444444
4,-1.4,4,2024,5,0.08457027443840437,0.14525395250129458,0.8
4,-1.4,4,2025,9,0.03885690540896716,0.03818064898568618,0.8888888888888888
4,-1.4,4,2026,1,0.06135446869742256,0.06135446869742256,1.0
4,-1.4,5,2021,7,0.053141223438977106,0.08065973003977622,0.8571428571428571
4,-1.4,5,2022,4,0.03236312403632646,0.07130195562229658,0.75
4,-1.4,5,2023,9,0.02868768123458581,-0.03076027107059298,0.4444444444444444
4,-1.4,5,2024,5,0.05193062575036962,0.10154366199188969,0.8
4,-1.4,5,2025,9,0.05398790058761086,0.0516957418845545,0.7777777777777778
4,-1.4,5,2026,1,0.11200791478136041,0.11200791478136041,1.0
4,-1.4,6,2021,7,0.06486678914144495,0.0703507619983732,0.8571428571428571
4,-1.4,6,2022,4,0.0006182134184418431,0.0006897062094123885,0.5
4,-1.4,6,2023,9,0.03698145225546375,-0.011585482866295016,0.4444444444444444
4,-1.4,6,2024,5,-0.020159739159053048,-0.013599296139736539,0.4
4,-1.4,6,2025,9,0.08834410932315045,0.08815228847903889,0.8888888888888888
4,-1.4,6,2026,1,0.2912142757587206,0.2912142757587206,1.0
4,-1.4,7,2021,7,0.05623934307551548,0.04710254884359655,0.7142857142857143
4,-1.4,7,2022,4,-0.04096165548876704,-0.03262425731962387,0.25
4,-1.4,7,2023,9,0.012161288025880198,-0.04314650236133577,0.2222222222222222
4,-1.4,7,2024,5,-0.043514262477741525,-0.07351036197643956,0.2
4,-1.4,7,2025,9,0.08947264138611478,0.08391992580919094,0.6666666666666666
4,-1.4,7,2026,1,0.07177893646327926,0.07177893646327926,1.0
4,-1.3,1,2021,15,0.008812115215756628,0.012224235182121568,0.6
4,-1.3,1,2022,7,0.01265450391483623,0.012609755649245269,0.5714285714285714
4,-1.3,1,2023,14,0.0053038497449906285,0.0081526559915861,0.5714285714285714
4,-1.3,1,2024,11,-0.005311152340024842,0.0038307022844503713,0.5454545454545454
4,-1.3,1,2025,12,0.02882732870381143,0.03412534664772837,0.8333333333333334
4,-1.3,1,2026,1,0.001887521536889647,0.001887521536889647,1.0
4,-1.3,2,2021,15,-0.0006930829064954199,-0.005419871985498981,0.4666666666666667
4,-1.3,2,2022,7,0.05347545714405533,0.03329272354695023,0.7142857142857143
4,-1.3,2,2023,14,0.018379041855664476,-0.007123693851923907,0.42857142857142855
4,-1.3,2,2024,11,-0.004341641280134489,-0.017072547209610933,0.36363636363636365
4,-1.3,2,2025,12,0.023379565092439852,0.013459590063092608,0.5833333333333334
4,-1.3,2,2026,1,-0.04435931861327369,-0.04435931861327369,0.0
4,-1.3,3,2021,15,0.017424017730200244,0.00866303529902579,0.6
4,-1.3,3,2022,7,0.037868340292671006,0.0775973181706977,0.7142857142857143
4,-1.3,3,2023,14,0.05534847279951719,0.024647333544049466,0.5714285714285714
4,-1.3,3,2024,11,0.026138345042622278,0.02323476870194585,0.6363636363636364
4,-1.3,3,2025,12,0.03808527541378252,0.030070762131500284,0.75
4,-1.3,3,2026,1,-0.14400788611058224,-0.14400788611058224,0.0
4,-1.3,4,2021,15,0.04797957234440861,0.08222158575017091,0.7333333333333333
4,-1.3,4,2022,7,0.03071858067752455,0.08819802390232367,0.5714285714285714
4,-1.3,4,2023,14,0.044938234202965346,0.002491952048272794,0.5
4,-1.3,4,2024,11,0.03884421249957192,0.02526511673986298,0.5454545454545454
4,-1.3,4,2025,12,0.061260849220855416,0.05247380406549507,0.9166666666666666
4,-1.3,4,2026,1,0.06135446869742256,0.06135446869742256,1.0
4,-1.3,5,2021,15,0.03489697210053191,0.0604590182137108,0.6666666666666666
4,-1.3,5,2022,7,0.010639540596369259,0.051451435175733806,0.5714285714285714
4,-1.3,5,2023,14,0.03788937247354797,0.010366167493800815,0.5
4,-1.3,5,2024,11,0.026124745573773363,0.06490920459325333,0.5454545454545454
4,-1.3,5,2025,12,0.08277580810079871,0.05494048606396107,0.8333333333333334
4,-1.3,5,2026,1,0.11200791478136041,0.11200791478136041,1.0
4,-1.3,6,2021,15,0.03502105032979933,0.04167753764196891,0.6666666666666666
4,-1.3,6,2022,7,-0.004805527274991458,-0.021206349335006647,0.42857142857142855
4,-1.3,6,2023,14,0.05062525563533632,0.0012685400584794837,0.5
4,-1.3,6,2024,11,-0.006540289770050884,-0.011427534717942556,0.45454545454545453
4,-1.3,6,2025,12,0.10631510971897969,0.10856993833564887,0.9166666666666666
4,-1.3,6,2026,1,0.2912142757587206,0.2912142757587206,1.0
4,-1.3,7,2021,15,0.039560122792124425,0.038891234077382375,0.6666666666666666
4,-1.3,7,2022,7,-0.08513244254370733,-0.04237178784458151,0.14285714285714285
4,-1.3,7,2023,14,0.03607337880379915,-0.02684761037961586,0.35714285714285715
4,-1.3,7,2024,11,-0.0467985290252591,-0.04275550420113439,0.18181818181818182
4,-1.3,7,2025,12,0.1149630263312451,0.09755920537536789,0.75
4,-1.3,7,2026,1,0.07177893646327926,0.07177893646327926,1.0
4,-1.2,1,2021,19,0.006978117827331715,0.012224235182121568,0.5789473684210527
4,-1.2,1,2022,8,0.01863266857613423,0.01798863516130511,0.625
4,-1.2,1,2023,16,-0.002568714184026641,0.0060948110578086245,0.5625
4,-1.2,1,2024,18,-0.0035592799148242487,0.0035443291666994448,0.6111111111111112
4,-1.2,1,2025,15,0.01674038682342515,0.021757731111422984,0.7333333333333333
4,-1.2,1,2026,3,-0.009366586926493725,0.001887521536889647,0.6666666666666666
4,-1.2,2,2021,19,0.011579310159946066,0.009238281509726054,0.5789473684210527
4,-1.2,2,2022,8,0.05866688683572692,0.06414980911218915,0.75
4,-1.2,2,2023,16,0.012089494483076987,-0.009026271542008246,0.4375
4,-1.2,2,2024,18,0.004411585086231061,-0.009266352839640668,0.4444444444444444
4,-1.2,2,2025,15,0.005511406627522164,0.0006492226201924023,0.5333333333333333
4,-1.2,2,2026,3,-0.04689212738945311,-0.04435931861327369,0.3333333333333333
4,-1.2,3,2021,19,0.009675410135656835,0.0014698547305365128,0.5263157894736842
4,-1.2,3,2022,8,0.04028372685251799,0.0673943754710723,0.75
4,-1.2,3,2023,16,0.048116535528173215,0.012085390674490215,0.5625
4,-1.2,3,2024,18,0.024369098015502497,0.029615551542123586,0.6666666666666666
4,-1.2,3,2025,15,0.01616990509883765,0.016821225975117482,0.6
4,-1.2,3,2026,3,-0.08393321233386808,-0.10723636527869795,0.0
4,-1.2,4,2021,19,0.028741676229970703,0.043377302220632075,0.631578947368421
4,-1.2,4,2022,8,0.023546195301803352,0.03076876078703933,0.5
4,-1.2,4,2023,16,0.03349510779394773,-0.002228865644566813,0.4375
4,-1.2,4,2024,18,0.028246159203391758,0.0554163114055064,0.6111111111111112
4,-1.2,4,2025,15,0.030884705318208274,0.03818064898568618,0.8
4,-1.2,4,2026,3,-0.00516048776172251,0.02939334464240262,0.6666666666666666
4,-1.2,5,2021,19,0.024892989832466374,0.04453618837950546,0.5789473684210527
4,-1.2,5,2022,8,0.004846669295625106,0.007874002683074921,0.5
4,-1.2,5,2023,16,0.033117900332732896,-0.0034772139637800348,0.5
4,-1.2,5,2024,18,0.020324609565640996,0.07272906438433424,0.6111111111111112
4,-1.2,5,2025,15,0.04043277926352818,0.0516957418845545,0.6666666666666666
4,-1.2,5,2026,3,0.0826887216976464,0.09961989973117125,1.0
4,-1.2,6,2021,19,0.02117173254047079,0.04167753764196891,0.631578947368421
4,-1.2,6,2022,8,0.012809006761530267,0.0010641327602369244,0.5
4,-1.2,6,2023,16,0.04478022210399222,-0.009143700801916732,0.4375
4,-1.2,6,2024,18,0.008780506322995874,0.04286862712961925,0.5555555555555556
4,-1.2,6,2025,15,0.05251997007801769,0.08815228847903889,0.7333333333333333
4,-1.2,6,2026,3,0.22294482498055465,0.2912142757587206,1.0
4,-1.2,7,2021,19,0.026706405886593187,0.033404722650485885,0.631578947368421
4,-1.2,7,2022,8,-0.06076535212577645,-0.03262425731962387,0.25
4,-1.2,7,2023,16,0.030835906399661404,-0.02684761037961586,0.375
4,-1.2,7,2024,18,-0.017468580450123013,-0.010306591210689275,0.3888888888888889
4,-1.2,7,2025,15,0.06898559057528025,0.08362704049162484,0.6666666666666666
4,-1.2,7,2026,3,0.13091686081728718,0.07177893646327926,1.0
4,-1.1,1,2021,23,0.003676411255349855,0.013123209996515284,0.5652173913043478
