z_window,z_threshold,hold_days,signal_date,entry_date,exit_date,signal_z_score,entry_price,exit_price,return,winner,year
5,-1.5,2,2024-08-22,2024-08-23,2024-08-26,-1.5300357781618539,38.76484443567189,36.918995738983156,-0.0476165640172197,False,2024
5,-1.5,2,2024-10-15,2024-10-16,2024-10-17,-1.5669318167777775,35.45196556078818,34.84670639419556,-0.01707265470386432,False,2024
5,-1.5,2,2024-10-23,2024-10-24,2024-10-25,-1.6612053945246938,34.29172253324224,34.915984428405764,0.018204448451324184,True,2024
5,-1.5,2,2024-10-31,2024-11-01,2024-11-04,-1.5471607320464118,30.434150582705534,30.036848596572877,-0.013054479212520786,False,2024
5,-1.5,2,2024-11-27,2024-11-29,2024-12-02,-1.5306475463732707,27.320326604381687,29.888397571563722,0.09399854563854904,True,2024
5,-1.5,2,2024-12-10,2024-12-11,2024-12-12,-1.5405055461573194,28.093825835278203,28.166351200103758,0.002581541056415393,True,2024
5,-1.5,2,2024-12-30,2024-12-31,2025-01-02,-1.6223836825274622,28.044005721247803,27.461959098815917,-0.02075476050808578,False,2024
5,-1.5,2,2025-05-21,2025-05-22,2025-05-23,-1.6680343735336967,16.92852358573872,15.660202646255494,-0.07492212377881036,False,2025
5,-1.5,2,2025-07-22,2025-07-23,2025-07-24,-1.6680922567930943,25.668191678003822,25.58694771194458,-0.0031651612656791173,False,2025
5,-1.5,2,2025-08-29,2025-09-02,2025-09-03,-1.590027342803307,24.097078995766488,24.877862508773802,0.032401583326530536,True,2025
5,-1.5,2,2025-10-10,2025-10-13,2025-10-14,-1.6157459693088616,38.26822954177856,36.593371067047116,-0.04376629111892805,False,2025
5,-1.5,2,2025-10-22,2025-10-23,2025-10-24,-1.5161545276138848,37.76772954177856,43.096859390258786,0.14110273275985952,True,2025
5,-1.5,2,2025-11-04,2025-11-05,2025-11-06,-1.707625816318811,43.26322122192382,42.96698832321167,-0.00684722242924507,False,2025
5,-1.5,2,2025-12-12,2025-12-15,2025-12-16,-1.7394666220687278,43.15311061096191,40.44951167678833,-0.06265131055203232,False,2025
5,-1.5,2,2026-06-05,2026-06-08,2026-06-09,-1.5506494524841414,210.83061511230466,201.47831268310546,-0.04435931861327369,False,2026
5,-1.5,3,2021-01-27,2021-01-28,2021-02-01,-1.6522276372549272,33.97683041966189,36.183049530029294,0.06493304652368925,True,2021
5,-1.5,3,2021-04-19,2021-04-20,2021-04-22,-1.5301677688380682,37.885258638039126,36.8112658996582,-0.028348565563244388,False,2021
5,-1.5,3,2021-04-30,2021-05-03,2021-05-05,-1.5340653337715822,36.63245801109698,33.48681200408936,-0.0858704596359523,False,2021
5,-1.5,3,2021-06-18,2021-06-21,2021-06-23,-1.5633812161757379,36.467358586928334,37.84834423828125,0.03786908909404607,True,2021
5,-1.5,3,2021-07-08,2021-07-09,2021-07-13,-1.5024642555808476,39.02154069043881,41.30848079681397,0.05860711970646282,True,2021
5,-1.5,3,2021-07-15,2021-07-16,2021-07-20,-1.6459661713140536,38.87585504510513,37.160190307617185,-0.044131884314759784,False,2021
5,-1.5,3,2021-07-27,2021-07-28,2021-07-30,-1.657992168978995,38.39998143666492,43.02401055908203,0.12041748327518742,True,2021
